MSA_UPC13,POS_SKU,MatchType
7847620723750,784762072375,heuristic/substr
7847620722900,784762072290,heuristic/substr
0086600077590,008660007759,heuristic/substr
0086600076810,008660007681,heuristic/substr
8404391060470,840439106047,heuristic/substr
8404391061080,840439106108,heuristic/substr
8404391060160,840439106016,heuristic/substr
8404391060780,840439106078,heuristic/substr
0317000038240,031700003824,heuristic/substr
0317002324600,031700232460,heuristic/substr
0317004201950,031700420195,heuristic/substr
0317002331390,031700233139,heuristic/substr
0317004201880,031700420188,heuristic/substr
0317004202250,031700420225,heuristic/substr
0317004201710,031700420171,heuristic/substr
0317002346310,031700234631,heuristic/substr
0317004203620,031700420362,heuristic/substr
0317004202180,031700420218,heuristic/substr
0317002322620,031700232262,heuristic/substr
0317000095810,031700009581,heuristic/substr
0317004202010,031700420201,heuristic/substr
0317002356450,031700235645,heuristic/substr
0317002361540,031700236154,heuristic/substr
0317002356210,031700235621,heuristic/substr
0317002356380,031700235638,heuristic/substr
0317000093140,031700009314,heuristic/substr
0317002354920,031700235492,heuristic/substr
0317002369700,031700236970,heuristic/substr
0317002356140,031700235614,heuristic/substr
0317002369870,031700236987,heuristic/substr
0317002359660,031700235966,heuristic/substr
0317002331220,031700233122,heuristic/substr
0317002387900,031700238790,heuristic/substr
0317002382570,031700238257,heuristic/substr
0317002385470,031700238547,heuristic/substr
0317002384550,031700238455,heuristic/substr
0317002322790,031700232279,heuristic/substr
0317002342110,031700234211,heuristic/substr
0317002375880,031700237588,heuristic/substr
0317002374720,031700237472,heuristic/substr
0317002340990,031700234099,heuristic/substr
0317004200720,031700420072,heuristic/substr
0317002338940,031700233894,heuristic/substr
0317009018090,031700901809,heuristic/substr
0317002391480,031700239148,heuristic/substr
0317002378610,031700237861,heuristic/substr
0317002377550,031700237755,heuristic/substr
0317002377170,031700237717,heuristic/substr
0317002378470,031700237847,heuristic/substr
0317002391620,031700239162,heuristic/substr
0317002383940,031700238394,heuristic/substr
0317002378090,031700237809,heuristic/substr
0317002377000,031700237700,heuristic/substr
0317002376940,031700237694,heuristic/substr
0317002377240,031700237724,heuristic/substr
0317002377860,031700237786,heuristic/substr
0317002382640,031700238264,heuristic/substr
0317002388440,031700238844,heuristic/substr
0317002377790,031700237779,heuristic/substr
0317002377480,031700237748,heuristic/substr
0317002377930,031700237793,heuristic/substr
0317002382260,031700238226,heuristic/substr
0317002378850,031700237885,heuristic/substr
0317002377620,031700237762,heuristic/substr
0317002391240,031700239124,heuristic/substr
0317002378780,031700237878,heuristic/substr
7161652021720,716165202172,heuristic/substr
7161652020970,716165202097,heuristic/substr
0905001000720,090500100072,heuristic/substr
0905001001400,090500100140,heuristic/substr
0905001001330,090500100133,heuristic/substr
0905001000960,090500100096,heuristic/substr
0905001001020,090500100102,heuristic/substr
0905001003620,090500100362,heuristic/substr
0905001003790,090500100379,heuristic/substr
0905001100880,090500110088,heuristic/substr
0905001001190,090500100119,heuristic/substr
0905001001260,090500100126,heuristic/substr
0905001003240,090500100324,heuristic/substr
0905001003310,090500100331,heuristic/substr
0905001107120,090500110712,heuristic/substr
0905001107290,090500110729,heuristic/substr
0905001107360,090500110736,heuristic/substr
0905001101180,090500110118,heuristic/substr
0905001101250,090500110125,heuristic/substr
0905001100710,090500110071,heuristic/substr
8424261527920,842426152792,heuristic/substr
8424261527610,842426152761,heuristic/substr
7089265652440,708926565244,heuristic/substr
7089265652130,708926565213,heuristic/substr
7089265611160,708926561116,heuristic/substr
7089262500270,708926250027,heuristic/substr
7089265613140,708926561314,heuristic/substr
7089267013140,708926701314,heuristic/substr
7089267012150,708926701215,heuristic/substr
7089265660500,708926566050,heuristic/substr
7089265640490,708926564049,heuristic/substr
7089262502250,708926250225,heuristic/substr
7089265630420,708926563042,heuristic/substr
7089265632190,708926563219,heuristic/substr
7089265621130,708926562113,heuristic/substr
7089265623110,708926562311,heuristic/substr
7089268002080,708926800208,heuristic/substr
7089268001090,708926800109,heuristic/substr
7089262501260,708926250126,heuristic/substr
7089268002220,708926800222,heuristic/substr
8174580271100,817458027110,heuristic/substr
8174580271030,817458027103,heuristic/substr
8174580270970,817458027097,heuristic/substr
8174580270800,817458027080,heuristic/substr
8174580271340,817458027134,heuristic/substr
8174580271270,817458027127,heuristic/substr
8174580272710,817458027271,heuristic/substr
8174580273180,817458027318,heuristic/substr
6499643272370,649964327237,heuristic/substr
6499643272200,649964327220,heuristic/substr
6499643215700,649964321570,heuristic/substr
6499643216170,649964321617,heuristic/substr
6499643235360,649964323536,heuristic/substr
6499643272130,649964327213,heuristic/substr
8174580274620,817458027462,heuristic/substr
8174580274550,817458027455,heuristic/substr
8174580274480,817458027448,heuristic/substr
8174580274310,817458027431,heuristic/substr
8174580274240,817458027424,heuristic/substr
6499643198810,649964319881,heuristic/substr
6499643199110,649964319911,heuristic/substr
6499643199040,649964319904,heuristic/substr
6499643200300,649964320030,heuristic/substr
6499643200230,649964320023,heuristic/substr
6499643198980,649964319898,heuristic/substr
6499643198740,649964319874,heuristic/substr
6499643198670,649964319867,heuristic/substr
7089267011160,708926701116,heuristic/substr
6499643197440,649964319744,heuristic/substr
6499643197510,649964319751,heuristic/substr
6499643197200,649964319720,heuristic/substr
6499643197370,649964319737,heuristic/substr
6499643083730,649964308373,heuristic/substr
6499643084030,649964308403,heuristic/substr
6499643083800,649964308380,heuristic/substr
6499643084100,649964308410,heuristic/substr
7089267012390,708926701239,heuristic/substr
7089267013380,708926701338,heuristic/substr
7089267011300,708926701130,heuristic/substr
8492050162900,849205016290,heuristic/substr
8492050179140,849205017914,heuristic/substr
8492050197100,849205019710,heuristic/substr
8492050305860,849205030586,heuristic/substr
8492050234650,849205023465,heuristic/substr
8492050162690,849205016269,heuristic/substr
8492050221470,849205022147,heuristic/substr
8492050234340,849205023434,heuristic/substr
8492050199250,849205019925,heuristic/substr
8492050221160,849205022116,heuristic/substr
8492050196800,849205019680,heuristic/substr
8492050300120,849205030012,heuristic/substr
8492050313540,849205031354,heuristic/substr
8492050321770,849205032177,heuristic/substr
8492050324670,849205032467,heuristic/substr
8492050306160,849205030616,heuristic/substr
8492050235570,849205023557,heuristic/substr
8492050193520,849205019352,heuristic/substr
8492050222390,849205022239,heuristic/substr
8492050235260,849205023526,heuristic/substr
8492050194750,849205019475,heuristic/substr
8492050197720,849205019772,heuristic/substr
8492050312620,849205031262,heuristic/substr
8492050312310,849205031231,heuristic/substr
8492050321150,849205032115,heuristic/substr
8492050320540,849205032054,heuristic/substr
8492050321460,849205032146,heuristic/substr
8492050320850,849205032085,heuristic/substr
8492050324360,849205032436,heuristic/substr
8492050222080,849205022208,heuristic/substr
0282001775060,028200177506,heuristic/substr
0282001982040,028200198204,heuristic/substr
0123001301340,012300130134,heuristic/substr
7834956550770,783495655077,heuristic/substr
8401706180450,840170618045,heuristic/substr
8401706184650,840170618465,heuristic/substr
8401706181680,840170618168,heuristic/substr
8401706182290,840170618229,heuristic/substr
8401706181060,840170618106,heuristic/substr
8401706182810,840170618281,heuristic/substr
8401706180140,840170618014,heuristic/substr
8401706184340,840170618434,heuristic/substr
8401706181370,840170618137,heuristic/substr
8401706181990,840170618199,heuristic/substr
8401706180760,840170618076,heuristic/substr
8401706184960,840170618496,heuristic/substr
8401706182500,840170618250,heuristic/substr
8401706010610,840170601061,heuristic/substr
8401706006130,840170600613,heuristic/substr
8401706004390,840170600439,heuristic/substr
0123001331350,012300133135,heuristic/substr
0123001321380,012300132138,heuristic/substr
0123003675850,012300367585,heuristic/substr
0123001311310,012300131131,heuristic/substr
0123001351390,012300135139,heuristic/substr
0408356407810,040835640781,heuristic/substr
7872690932180,787269093218,heuristic/substr
8500435837690,850043583769,heuristic/substr
8500435837830,850043583783,heuristic/substr
8500435837760,850043583776,heuristic/substr
8500435837900,850043583790,heuristic/substr
7624467062040,762446706204,heuristic/substr
7202609695710,720260969571,heuristic/substr
8159700202510,815970020251,heuristic/substr
8159700203360,815970020336,heuristic/substr
8159700202370,815970020237,heuristic/substr
8159700202750,815970020275,heuristic/substr
8159700202990,815970020299,heuristic/substr
8159700203120,815970020312,heuristic/substr
7624467042000,762446704200,heuristic/substr
7624467102010,762446710201,heuristic/substr
7624467010010,762446701001,heuristic/substr
7624467212070,762446721207,heuristic/substr
7624467050090,762446705009,heuristic/substr
7624467082080,762446708208,heuristic/substr
0422051800000,04220518,heuristic/substr
6196829991910,619682999191,heuristic/substr
6196829991460,619682999146,heuristic/substr
6196829992210,619682999221,heuristic/substr
6196829991150,619682999115,heuristic/substr
6196829991600,619682999160,heuristic/substr
6196829988420,619682998842,heuristic/substr
6196829990540,619682999054,heuristic/substr
6196829990850,619682999085,heuristic/substr
6196829990230,619682999023,heuristic/substr
0261000027750,026100002775,heuristic/substr
6196825776030,619682577603,heuristic/substr
6196825774670,619682577467,heuristic/substr
6196825774050,619682577405,heuristic/substr
6196820304050,619682030405,heuristic/substr
6196820301600,619682030160,heuristic/substr
6196820104070,619682010407,heuristic/substr
6196825739190,619682573919,heuristic/substr
6196820302210,619682030221,heuristic/substr
6196825602300,619682560230,heuristic/substr
6196825776410,619682577641,heuristic/substr
6196820302830,619682030283,heuristic/substr
6160434441610,616043444161,heuristic/substr
7424887831350,742488783135,heuristic/substr
6160434441160,616043444116,heuristic/substr
3141000000000,314100,heuristic/substr
7051057249660,705105724966,heuristic/substr
8799820041590,879982004159,heuristic/substr
8799820041970,879982004197,heuristic/substr
8799820042100,879982004210,heuristic/substr
8799820042030,879982004203,heuristic/substr
8799820041110,879982004111,heuristic/substr
8799820041350,879982004135,heuristic/substr
8799820041280,879982004128,heuristic/substr
8799820041660,879982004166,heuristic/substr
0771705114450,077170511445,heuristic/substr
0771705100110,077170510011,heuristic/substr
0771702606190,077170260619,heuristic/substr
0771705100280,077170510028,heuristic/substr
0185051314640,018505131464,heuristic/substr
2086000467162,20860004671620,heuristic/substr
8532720081880,853272008188,heuristic/substr
8532720082490,853272008249,heuristic/substr
8532720082010,853272008201,heuristic/substr
8532720081260,853272008126,heuristic/substr
8532720081640,853272008164,heuristic/substr
8532720081400,853272008140,heuristic/substr
7847620804310,784762080431,heuristic/substr
7847620807070,784762080707,heuristic/substr
7847620806150,784762080615,heuristic/substr
7847620806460,784762080646,heuristic/substr
7847620805850,784762080585,heuristic/substr
7847620807900,784762080790,heuristic/substr
7847620804620,784762080462,heuristic/substr
7847620804930,784762080493,heuristic/substr
7847620806770,784762080677,heuristic/substr
0764525620140,076452562014,heuristic/substr
0717374388240,071737438824,heuristic/substr
0717374388000,071737438800,heuristic/substr
7516671266630,751667126663,heuristic/substr
8424261552430,842426155243,heuristic/substr
8424261552810,842426155281,heuristic/substr
8424261552670,842426155267,heuristic/substr
8424261553040,842426155304,heuristic/substr
0771701011340,077170101134,heuristic/substr
0771701044250,077170104425,heuristic/substr
0210647099130,021064709913,heuristic/substr
0210647098900,021064709890,heuristic/substr
0210647099370,021064709937,heuristic/substr
0210647099200,021064709920,heuristic/substr
7074669993590,707466999359,heuristic/substr
8498550003110,849855000311,heuristic/substr
8498550002980,849855000298,heuristic/substr
8498550023840,849855002384,heuristic/substr
8498550002810,849855000281,heuristic/substr
8498550023910,849855002391,heuristic/substr
8498550002740,849855000274,heuristic/substr
8498550002500,849855000250,heuristic/substr
8498550032510,849855003251,heuristic/substr
8498550002430,849855000243,heuristic/substr
8498550002360,849855000236,heuristic/substr
8498550002290,849855000229,heuristic/substr
8141010251100,814101025110,heuristic/substr
8141010250970,814101025097,heuristic/substr
8141010250590,814101025059,heuristic/substr
8141010250800,814101025080,heuristic/substr
7999532312020,799953231202,heuristic/substr
7999533103650,799953310365,heuristic/substr
