name,upc1,upc2
SHOW 5/$1 15/5CT SWEET                            SHOW 5/$1 15/5CT SWEET,5876500582080,8587650058208
SHOW 2/99 BLUNTCONE ZERO                          SHOW 2/99 BLUNTCONE ZERO,8587650013630,0858765001363
SHOW 2/99 BLUNTCONE WET&FRUTY                     SHOW 2/99 BLUNTCONE WET&FRUTY,8587650013490,0858765001349
SHOW 2/99 BLUNTCONE WATERMELON                    SHOW 2/99 BLUNTCONE WATERMELON,8587650013250,0858765001325
SHOW 2/99 BLUNTCONE MANGO,8587650012950,0858765001295
SHOW 2/99 BLUNTCONE KUSH,8587650012880,0858765001288
SHOW 2/99 BLUNTCONE CHOCOLATE                     SHOW 2/99 BLUNTCONE CHOCOLATE,8171270200051,0817127020005
SHOW 2/99 BLUNTCONE BLUE PALMA,8587650012570,0858765001257
SHIELD SILVER  100S BOX,8140575017130,0814057501713
SHIELD RED KING BOX,8140572007150,0814057200715
SHIELD BLUE KING BOX,8140573007120,0814057300712
SENECA SWEET CIGR GRAPE CTN,8445040007970,0844504000797
RUSH STARTER KIT,8174580259250,0817458025925
RUSH NIC SALT MENTHOL 1CASE,8174580261130,0817458026113
RUSH NCTN SALT TOBACCO,8174580259010,0817458025901
RUSH NCTN SALT RAZZLETAZ,8174580259700,0817458025970
RUSH NCTN SALT MENTHOL,8174580259630,0817458025963
RUSH NCTN SALT MANGO,8174580259560,0817458025956
ROXWELL 3/99 WHITE GRAPE                          ROXWELL 3/99 WHITE GRAPE,8184330104071,0818433010407
ROXWELL 3/99 SWEET                                ROXWELL 3/99 SWEET,8184330104211,0818433010421
ROXWELL 3/99 SILVER                               ROXWELL 3/99 SILVER,8184330104141,0818433010414
ROXWELL 3/99 PINEAPPLE                            ROXWELL 3/99 PINEAPPLE,8184330104381,0818433010438
ROXWELL 3/99 BLUEBERRY                            ROXWELL 3/99 BLUEBERRY,8184330103911,0818433010391
ROXWELL 3/99  GREEN SWEET                         ROXWELL 3/99  GREEN SWEET,8184330104761,0818433010476
RIPTIDE RIPSTICK KIT 1CT,8404391650060,0840439165006
RIPSTICK TROPICAL POD 5.0% 1CT,8404391624700,0840439162470
RIPSTICK TROPICAL POD 2.4% 1CT,8404391619920,0840439161992
RIPSTICK TOBACCO POD 5.0% 1CT,8404391622960,0840439162296
RIPSTICK MINT POD 5.0% 1CT,8404391623260,0840439162326
RIPSTICK MANGO POD 5.0% 1CT,8404391625000,0840439162500
RIPSTICK MANGO POD 2.4% 1CT,8404391620290,0840439162029
RIPSTICK BLUERASPBERRY 5% 1CT,8404391623570,0840439162357
RIPSTICK BLUERASPBERRY 2.4 1CT,8404391618790,0840439161879
RIPSTICK BERRY POD 5.0% 1CT,8404391624180,0840439162418
RIPSTICK BERRY POD 2.4% 1CT,8404391619300,0840439161930
RIPSTICK  MINT POD 2.4% 1CT,8404391618480,0840439161848
RED RIVER SMOOTH 16OZ 1CT,8126150034710,0812615003471
RED DAWN 2000 ALL FLAVORS 10CT,RD20000,0000000RD2000
RCN DIS PINK LEMONADE 1CT,9999999999620,0999999999962
RB WET MANGO 3/98 60CT                            RB WET MANGO 3/98 60CT,6196820312590,0619682031259
RB PURPLE HAZE 3/98 60CT                          RB PURPLE HAZE 3/98 60CT,6196820312800,0619682031280
RB PINEAPPLE 3/98 60CT                            RB PINEAPPLE 3/98 60CT,6196820313720,0619682031372
RB BLACK MAMBA 3/98 60CT                          RB BLACK MAMBA 3/98 60CT,6196820312280,0619682031228
R&M SWITCH 2400 - VAN ICE/FRTF,8526713213000,0852671321300
R&M SWITCH 2400 - STW Y/BLU RZ,8526526526690,0852652652669
R&M SWITCH 2400 - STR KIW/PINA,8526415154180,0852641515418
R&M SWITCH 2400 - R APPL/OREO,8526249856410,0852624985641
R&M SWITCH 2400 - PSC/COTN CND,8526432121170,0852643212117
R&M SWITCH 2400 - PCH O/CHRY L,8526463413400,0852646341340
R&M SWITCH 2400 - OPM/TBLOOD,8526418945440,0852641894544
R&M SWITCH 2400 - HNY PSN F/TF,8526023111650,0852602311165
R&M SWITCH 2400 - ENRGY/GUAVA,8526415156470,0852641515647
R&M SWITCH 2400 - COLA/WMELON,8526794613120,0852679461312
R&M SWITCH 2400 - BANICE/POMG,8526416434180,0852641643418
R&M SWITCH 2400 - ALO GRP/MANG,8526424325230,0852642432523
PURE FRONTO DARK,6805694854100,0680569485410
PUF WATERMELON PODS 1CT,6507282734000,0650728273400
PUF TOBACCO PODS 1CT,6507282736460,0650728273646
PUF STRAWBERRY PODS 1CT,6507282733940,0650728273394
PUF MIXED FRUIT PODS 1CT,6507282735230,0650728273523
PUF MINT PODS 1CT,6507282733700,0650728273370
PUF MANGO PODS 1CT,6507282733630,0650728273363
PIRATES CAVE E/CIG ICT,7137579335060,0713757933506
PINK LEMONADE PODS 1CT,8526750728710,0852675072871
PHILLIES BLUNT CIGAR 50CT                         PHILLIES BLUNT CIGAR 50CT,0702351085120,0070235108512
PHILL KROME CIG W/GRP BOX,702351112910,0070235111291
PHILL KROME CIF SW BOX,702351112840,0070235111284
PEPSODENTTOOTH BRUSH 4PK ICT,6729358014120,0672935801412
PENGUIN XXL 1800 TNG PRPL ICE,8686745130620,0868674513062
