name,upc1,upc2
DOUBLE PLATINUM CHAMPAGNE 25CT                    DOUBLE PLATINUM CHAMPAGNE 25CT,6445362272290,0644536227229
DOUBLE PLATINUM BLUEBERRY 25CT,6445362262220,0644536226222
DOUBLE PLATINUM BERRIES 25CT,6445362267270,0644536226727
DOUBLE PLATINUM AOOLE MARTINI,6445362269250,0644536226925
DOUBLE APPLE TOB 250G,8472440012530,0847244001253
DOUBLE APPLE TOB 100G,8472440012460,0847244001246
DM 2/99 SILVER DUTCH BLND 30CT                    DM 2/99 SILVER DUTCH BLND 30CT,DMS990,00000000DMS99
DM 2/99 SILVER 30CT                               DM 2/99 SILVER 30CT,0716103400150,0071610340015
DM 2/99 JAVA FUSION                               DM 2/99 JAVA FUSION,0716103400460,0071610340046
DM 2/99 IRISH FUSION 30CT                         DM 2/99 IRISH FUSION 30CT,0716103400390,0071610340039
DM 2/99 HONEY FUSION 30CT                         DM 2/99 HONEY FUSION 30CT,0716104961010,0071610496101
DM 2/99 BARRY FUSION                              DM 2/99 BARRY FUSION,0716104967050,0071610496705
DM 2/1.49 SILVER DTCH BLD 30CT                    DM 2/1.49 SILVER DTCH BLD 30CT,DMS1490,0000000DMS149
DJARUM SELECT/MILD,0417146001260,0041714600126
DIXON CIG/F/TUBES RED 1CT,6851414290110,0685141429011
DIXON CIG F/TUBE GRN 100 200CT,6851414290660,0685141429066
DIRECTOR RED K/S,8411840000960,7841184000096
DIRECTOR RED 100,8411840001260,7841184000126
DIRECTOR GREEN K/S,8411840001190,7841184000119
DIRECTOR 100 GREEN BOX,8411840001400,7841184000140
DENTAL SCOTCH THRIFT 1CT,4216110,0000000421611
CUBERO # 7  25 CT,717370116520,0071737011652
CUBERO # 12 25 CT,717370116760,0071737011676
CUBERO  FOIL 5/5 WRAPE # 7,717370115530,0071737011553
CROWN APPEAL 100 RED 200CT,8536130030700,0853613003070
CROWN APPEAL 100 MENTH 200CT,8536130030940,0853613003094
CROWN APPEAL 100 LIGHT 200CT,8536130030870,0853613003087
COSMOPOLITAN TOB 250G,8472440017580,0847244001758
COSMO POWER 250G,8472440004540,0847244000454
CLIPPER DBLE APPLE 3FOR.99                        CLIPPER DBLE APPLE 3FOR.99,8126150076770,0812615007677
CLIPPER CIG WINE 3FOR.99                          CLIPPER CIG WINE 3FOR.99,8126150076390,0812615007639
CLIPPER CIG W/GRP 2FOR.69                         CLIPPER CIG W/GRP 2FOR.69,8126150078060,0812615007806
CLIPPER CIG SWEET 3FOR.99                         CLIPPER CIG SWEET 3FOR.99,8126150076220,0812615007622
CLIPPER CIG STRAW 2FOR.69                         CLIPPER CIG STRAW 2FOR.69,8126150076460,0812615007646
CLIPPER CIG PEACH 2FOR.69                         CLIPPER CIG PEACH 2FOR.69,8126150076600,0812615007660
CLIPPER CIG GRAPE 2FOR.69                         CLIPPER CIG GRAPE 2FOR.69,8126150076530,0812615007653
CLIPER STRAWBERRY 200CT,8126150055050,0812615005505
CLIPER PEACH 200CT,8126150055120,0812615005512
CLIPER LIGHT 100/200CT,8126150055500,0812615005550
CLIPER CHERRY  200CT,8126150055290,0812615005529
CHEROKEE RED F/F 100 BOX,6071222890010,0607122289001
CHEROKEE MENTHOL 100 BOX,6071222890320,0607122289032
CHEROKEE MEN BX,6071222891310,0607122289131
CHEECH & CHONG ROLLING KS 50CT,8126240200911,0812624020091
CHEECH & CHONG HEMP 50CT                          CHEECH & CHONG HEMP 50CT,8126240200771,0812624020077
CHEECH & CHONG 1 1/4 25CT,8126240200841,0812624020084
CARPENTERS CUT 6OZ SMOOTH,8126150035250,0812615003525
CARPENTERS CUT 6OZ REG,8126150035180,0812615003518
CARPENTERS CUT 6OZ COOLMINT,8126150035320,0812615003532
CARPENTERS CUT 16OZ SMOOTH,8126150035560,0812615003556
CARPENTERS CUT 16OZ REGULAR,8126150035490,0812615003549
CARPENTERS CUT 16OZ COOLMINT,8126150035630,0812615003563
CAPTAIN BLKMINI TIP CHERY 25CT,717370114920,0071737011492
CAPTAIN BLK MINI TIP VANLA25CT,717370115150,0071737011515
CAPTAIN BLK MINI TIP VANLA 5PK,717370113620,0071737011362
CAPTAIN BLK MINI TIP CHERY 5PK,717370113240,0071737011324
CAPTAIN BLK CIGAR GRAPE 25 CT,717370117820,0071737011782
CAPTAIN BLK CIGAR GRAP 10/3 PK,717370118740,0071737011874
CAPTAIN BLK CIG SWEET 10/3 PKS,717370118120,0071737011812
CAPTAIN BLK CIG CHERY 10/3 PKS,717370118430,0071737011843
CAPTAIN BLK BLACK 25CT,717370114780,0071737011478
CAPRI MNTHL INDIGO BX 100,272000116430,0027200011643
CALI PODS WATERMELON MINT 1CT,7455580918330,0745558091833
CALI PODS WATERMELON 1CT,7455580916420,0745558091642
CALI PODS STRAWBERRY MINT 1CT,7455588111100,0745558811110
CALI PODS STRAWBERRY 1CT,7455580917030,0745558091703
CALI PODS RUSSIAN CREAM 1CT,7455595939850,0745559593985
CALI PODS PINK LEMONADE 1CT,7455580919490,0745558091949
CALI PODS PINEAPPLE 1CT,7455580912220,0745558091222
CALI PODS ORANGE GUAVA 1CT,7455580919180,0745558091918
CALI PODS MIGHTY MINT 1CT,7455580918570,0745558091857
CALI PODS MANGO MINT 1CT,7455581094770,0745558109477
CALI PODS MANGO 1CT,7455586962740,0745558696274
CALI PODS KIWI GUAVA 1CT,7455590486760,0745559048676
CALI PODS GREEN APPLE 1CT,7455595119100,0745559511910
CALI PODS GRAPEFRUIT 1CT,7455586964100,0745558696410
CALI PODS GRAPE 1CT,7455586963970,0745558696397
CALI PODS CITRUS 1CT,7455586962670,0745558696267
BUZ PODS STRAWBRYKIWI 1CT,7681143367660,0768114336766
BUZ PODS STRAWBRYBANANA 1CT,7681143367970,0768114336797
BUZ PODS RASPBERYDRGNFRUIT 1CT,7681143368030,0768114336803
BUZ PODS PINACOLADA 1CT,7681143368100,0768114336810
BUZ PODS ORANGEPINEAPPLE 1CT,7681143368340,0768114336834
BUZ PODS LEMONBERRY 1CT,7681143367730,0768114336773
BUZ PODS CREAMYPEACH 1CT,7681143368270,0768114336827
BOOST VAPE 1CT - ALL FLAVORS,BOOST0,00000000BOOST
BOGEY CIG WINE GRAPE 30CT,7362116985820,0736211698582
BOGEY CIG WHITE GRAPE 30CT,7362116984830,0736211698483
BOGEY CIG STRAW CREAM 30CT,7362116983840,0736211698384
BOGEY CIG GREEN LF MNTHL 30CT,7362116982850,0736211698285
BOGEY CIG BLUBERRY 30CT,6107088839680,0610708883968
BOB MARLEY CONE 3PK K/S 33CT,8575450120221,0857545012022
BOB M CONES ORG KS 33/3PK,8575450120391,0857545012039
BOB M CONES ORG 1 1/4CT 33/6PK,8575450120151,0857545012015
BOB M CONES CL 1 1/4CT 33/6PK,8575450120081,0857545012008
BLUNT VILLE VANILLA 25CT,6890769355240,0689076935524
BLUNT VILLE PINK BERRY  25CT,949226034560,0094922603456
BLUNT VILLE GRAPE 25CT,949226034700,0094922603470
BLUNT VILLE BLUEBERRY 25CT,6890769364220,0689076936422
BLUNT EZ WRAPPER R/TOBACCO,8560640001451,0856064000145
BLUNT EZ WRAPPER MENTHOL 25CT,8560640001521,0856064000152
BLUEBERRY TOB 250G,8472440014510,0847244001451
BLUE MIST TOB 250 G,8472440014370,0847244001437
BLUE MIST E/CIG 1 CT,7137579333080,0713757933308
BLU TANK VIVID VANILLA HIGH,8879690050750,0887969005075
BLU STARTER KIT VARIETY 1 CT,8540550045710,0854055004571
BLU STARTER KIT MENTHOL 1CT,8540550043420,0854055004342
BLU STARTER KIT CLASSIC 1CT,8540550043350,0854055004335
BLU E-CIG VIVID VANILA 1CT,8879690052970,0887969005297
BLU E-CIG POLAR MINT 1CT,8879690072220,0887969007222
BLU E-CIG MENTHOL 1CT,8596540020030,0859654002003
BLU E-CIG CLASSIC 12 DISP,8596540025530,0859654002553
BLU E-CIG CAROLINA BOLD 5 DISP,8879690052800,0887969005280
BLU E/CIG CLASSIC 1CT,8596540020100,0859654002010
BLU  E-CIG CAROLINA BOLD 1CT,8879690052730,0887969005273
BLK& MLD CIG WINE 2/99C 30 CT                     BLK& MLD CIG WINE 2/99C 30 CT,701375106590,0070137510659
BLK & MLD WINE 69 CENTS                           BLK & MLD WINE 69 CENTS,0701378048570,0070137804857
BLK & MLD W/T WINE 4X25 100CT                     BLK & MLD W/T WINE 4X25 100CT,0701378270540,0070137827054
BLK & MLD SWEET 25CT,0701372103680,0070137210368
BLK & MLD REG. 3PK SPEC. OFFER                    BLK & MLD REG. 3PK SPEC. OFFER,0701378105510,0070137810551
BLK & MLD REG 69 CENTS                            BLK & MLD REG 69 CENTS,0701378047580,0070137804758
BLK & MLD REG 25X4 100CT                          BLK & MLD REG 25X4 100CT,0701378269580,0070137826958
BLK & MLD JAZZ .79 PT/WT 100CT                    BLK & MLD JAZZ .79 PT/WT 100CT,0701378097530,0070137809753
BLK & MLD FILTER CIG 10/7,701375106110,0070137510611
BILLIONAIRE WRAP SWEET 25CT,8575450087351,0857545008735
BILLIONAIRE WRAP RUS CRM 25CT,8575450087421,0857545008742
BILLIONAIRE WRAP PINK LEM 25CT,8575450087661,0857545008766
BILLIONAIRE WRAP OGK 25CT,8575450087281,0857545008728
BILLIONAIRE WRAP NATURAL 25CT,8575450087591,0857545008759
BILLIONAIRE WRAP MANGO 25CT,8575450087111,0857545008711
BILLIONAIRE WRAP GRAPE 25CT,8575450087041,0857545008704
BILLIONAIRE WRAP BLUEBERY 25CT,8575450087731,0857545008773
BILLION WRAPS 25/2CT WATERMELN,8575450094731,0857545009473
BILLION WRAPS 25/2CT ROSE,8575450094801,0857545009480
BILLION WRAPS 25/2CT PCH & CRM,8575450094591,0857545009459
BILLION WRAPS 25/2CT GOLD,8575450113151,0857545011315
BILLION WRAPS 25/2CT BLACK,8575450113081,0857545011308
BIDI PODS WILD RUSH,7215350129850,0721535012985
BIDI PODS VIRGINIA TOBACCO 1CT,7215350129160,0721535012916
BIDI PODS STRAWBERRY CREAM 1CT,7215350129540,0721535012954
BIDI PODS SOUR APPLE 1CT,7215350129300,0721535012930
BIDI PODS SMOOTH MENTHOL 1CT,7215350129230,0721535012923
BIDI PODS MINT FREEZE 1CT,7215350129920,0721535012992
BIDI PODS LUSH ICE 1CT,7215350129780,0721535012978
BIDI PODS ICE CUCUMBER 1CT,7215350129610,0721535012961
BIDI PODS FRUITY MANGO 1CT,7215350129090,0721535012909
BIDI DISPLAY W/100 STICKS,BIDI1000,000000BIDI100
APPU BIDI NATURAL 10/20CT,6890764946870,0689076494687
APPU BIDI MENTHOL 10PK,6890764950800,0689076495080
APPU BIDI 101 20/20CT CONE,6890764960870,0689076496087
ALLAY MTHL ELECTRIC CIG 1CT,6174013140960,0617401314096
ALLAY MTHL ELCT CIG RECHARG,2824110000710,0282411000071
ALLAY MILD ELECTRIC CIGARETTE,6174013141330,0617401314133
ALLAY MILD ELCT CIG RECHARG,2824110000880,0282411000088
ALLAY MILD ELCT CIG CARTOMIZER,2824110000950,0282411000095
ALLAY FF ELECTRIC CIGARETTE,6174013141190,0617401314119
AL-FAKHER COCKTAIL 10X50,2911007311690,6291100731169
AL FAKHER W/MELON  250GM,2911007326160,6291100732616
AL FAKHER VANILA 10X50,2911007312820,6291100731282
AL FAKHER TWO APPLES W/ MINT,2911007318930,6291100731893
AL FAKHER TWO APPLES 10 X 50,2911007310770,6291100731077
AL FAKHER S/BERRY 10X50,2911007311830,6291100731183
AL FAKHER S/BERRY  250GM,2911007325000,6291100732500
AL FAKHER ROSE 10X5GM,2911007312060,6291100731206
AL FAKHER PEACH 250GM,2911007329750,6291100732975
AL FAKHER PEACH 10X50GM,2911007328900,6291100732890
AL FAKHER MANGO 10X50,2911007311070,6291100731107
AL FAKHER LEMON W/MINT 10X50,2911007329130,6291100732913
AL FAKHER LEMON 10X50,2911007311450,6291100731145
AL FAKHER KIWI 10X50,2911007312750,6291100731275
AL FAKHER JASMINE 10X50,2911007311210,6291100731121
AL FAKHER GUM W/CINNAMON 10X50,2911007364780,6291100736478
AL FAKHER GUM MASTIC 10X50,2911007331560,6291100733156
AL FAKHER GUM FLAVOR 10X50,2911007312510,6291100731251
AL FAKHER GUAVA 250GM,2911007328210,6291100732821
AL FAKHER GRENADINE 10X50,2911007313120,6291100731312
AL FAKHER GRAPEFRUIT 10X50,2911007363310,6291100736331
AL FAKHER GRAPE W/ MINT 10X50,2911007329370,6291100732937
AL FAKHER GRAPE W/ BERRY 10X50,2911007317560,6291100731756
AL FAKHER COCONUT 10X50,2911007312130,6291100731213
AL FAKHER CITRUS W/ MINT 10X50,2911007363170,6291100736317
AL FAKHER CHOC W/ MINT 10X50,2911007364160,6291100736416
AL FAKHER CHERRY W/ MINT 10X50,2911007318000,6291100731800
AL FAKHER CHERRY 10X50,2911007310530,6291100731053
AL FAKHER CAFE LATTE 10X50,2911007337500,6291100733750
AL FAKHER CAFE LATTE 10X50,2911007337500,6291100733750
AL FAKHER BUBBLE GUM 10X50,2911007329060,6291100732906
AL FAKHER BANANA 10X50,2911007310910,6291100731091
AL FAKHER APRICOT 10X50,2911007310840,6291100731084
AL FAKHER 250GM ORANGE MINT,2911007318480,6291100731848
AL FAKHER 250GM CITRUS W/MINT,2911007332550,6291100733255
AL FAKHER 10X50GR ORGN/CREAM                      AL FAKHER 10X50GR ORGN/CREAM,2911007368430,6291100736843
AL FAKHER 10 X 50GM STRAW CREM,2911007367200,6291100736720
AL FAKHER 10 X 50GM MINT CREAM                    AL FAKHER 10 X 50GM MINT CREAM,2911007368050,6291100736805
AL FAKHER 10 X 50GM LEMON MINT                    AL FAKHER 10 X 50GM LEMON MINT,2911007373900,6291100737390
AL FAKHER 10 X 50GM ENG FLALOR,2911007305990,6291100730599
AL FAKHER 10 X 50GM COCONUT,2911081620020,6291108162002
AL FAKHER 10 X 50GM CAPPUCINO                     AL FAKHER 10 X 50GM CAPPUCINO,2911007311900,6291100731190
AL FAKHER 10 X 50GM BBERYMINT,2911007373380,6291100737338
AL FAKHER  W/MELON 10X50,2911007312990,6291100731299
AL FAKHER  TWO APPLES 250GM,2911007323950,6291100732395
AL FAKHER  ORANGE 250GM,2911007323330,6291100732333
AL FAKHER  ORANGE 10 X 50,2911007310150,6291100731015
AL FAKHER  MINT 250,2911007323570,6291100732357
AL FAKHER  MINT 10 X 50,2911007310390,6291100731039
AL FAKHER  MELON 10 X 50,2911007310460,6291100731046
AL FAKHER  GUAVA 10 X 50,2911007337360,6291100733736
AL FAKHER  GRAPE 250GM,2911007323400,6291100732340
AL FAKHER  GRAPE 10 X 50,2911007310220,6291100731022
AL FAKHER  CHERRY 250GM,2911007323710,6291100732371
AL FAKHER   MELON 250GM,2911007323640,6291100732364
AIRIS XL 1200 STRW BANANA 10CT,9721364542380,6972136454238
AIRIS XL 1200 STRBR WMLN 10CT,9721364541390,6972136454139
AIRIS XL 1200 PINEAPL ICE 10CT,9721364542760,6972136454276
AIRIS XL 1200 MELON ICE 10CT,9721364542210,6972136454221
AIRIS XL 1200 MANGO ICE 10CT,9721364542900,6972136454290
AIRIS XL 1200 LUSH ICE 10CT,9721364541910,6972136454191
AIRIS XL 1200 KIWI STRWBR 10CT,9721364541220,6972136454122
AIRIS XL 1200 COOL MINT 10CT,9721364541530,6972136454153
AIRIS XL 1200 BLUERAZ LEM 10CT,9721364555560,6972136455556
AIRIS XL 1200 BLUE RAZ 10CT,9721364541840,6972136454184
AIRIS XL 1200 BLUBERY ICE 10CT,9721364541770,6972136454177
AIRIS XL 1200 BANANA ICE 10CT,9721364541600,6972136454160
AIRIS MEGA 2000 STR YOGRT 10CT,9721364558220,6972136455822
AIRIS MEGA 2000 STR WMLN 10CT,9721364553340,6972136455334
AIRIS MEGA 2000 STR ICECRM 10C,9721364558150,6972136455815
AIRIS MEGA 2000 STR BANAN 10CT,9721364553100,6972136455310
AIRIS MEGA 2000 SR APL KIW 10C,9721364554020,6972136455402
AIRIS MEGA 2000 RED APL R 10CT,9721364558910,6972136455891
AIRIS MEGA 2000 PEACH ICE 10CT,9721364558840,6972136455884
AIRIS MEGA 2000 MIXED BRR 10CT,9721364559070,6972136455907
AIRIS MEGA 2000 LUSH ICE 10C,9721364552800,6972136455280
AIRIS MEGA 2000 GRAPE SODA 10C,9721364554190,6972136455419
AIRIS MEGA 2000 ENRGY DRN 10CT,9721364558460,6972136455846
AIRIS MEGA 2000 COOL MINT 10CT,9721364552970,6972136455297
AIRIS MEGA 2000 BUBBLE GUM 10C,9721364553960,6972136455396
AIRIS MEGA 2000 BLUBRY ICE 10C,9721364553030,6972136455303
AIRIS MEGA 2000 BANAN ICE 10CT,9721364552730,6972136455273
AIRIS MAX 1600 STRW WMLN 10CT,9721364557230,6972136455723
AIRIS MAX 1600 STRW MANGO 10CT,9721364556790,6972136455679
AIRIS MAX 1600 STRW BANA 10CT,9721364544740,6972136454474
AIRIS MAX 1600 PEACH ICE 10CT,9721364557090,6972136455709
AIRIS MAX 1600 MIXED BERR 10CT,9721364557160,6972136455716
AIRIS MAX 1600 LUSH ICE 10CT,9721364543990,6972136454399
AIRIS MAX 1600 GUMMY BEAR 10CT,9721364556550,6972136455655
AIRIS MAX 1600 GRAPE ICE 10CT,9721364544360,6972136454436
AIRIS MAX 1600 COOL MINT 10CT,9721364543510,6972136454351
AIRIS MAX 1600 COLA ICE 10CT,9721364544120,6972136454412
AIRIS MAX 1600 BLUBRY ICE 10CT,9721364556930,6972136455693
AIRIS MAX 1600 BLU RAZ LEM 10C,9721364556620,6972136455662
AIRIS MAX 1600 BANANA ICE 10CT,9721364556860,6972136455686
AIRIS MAX 1600 BANANA CUS 10CT,9721364544500,6972136454450
858765001264,8587650012640,0858765001264
