# AUTOMATED PURCHASE ORDER
# Supplier: BLUE RIDGE TOBACCO COMPANY
# Generated: 2025-08-18 12:17:13
# Total Items: 10
# Total Quantity: 3,157.0
# Estimated Value: $89,064.65
# Critical Items: 0
# Urgent Items: 2
#
# ORDERING LOGIC:
# - CRITICAL: Out of stock (0 units)
# - URGENT: Less than 2 weeks of stock
# - LOW: Less than 4 weeks of stock
# - Suggested quantity = 6 weeks supply + 50% safety stock
#
Priority,SKU,Description,Category,Current Stock,Weeks of Stock,Weekly Movement,Suggested Order Qty,Est. Cost Per Unit,Est. Total Cost,Demand Trend,8-Week Profit,Days Since Last Order
URGENT,685141913152,24/7 MENTHOL 100 BOX 10CT,CIGARETTE,150,1.3,119.0,1071,$27.69,$29653.31,STABLE,$905.78,4
URGENT,090600392667,CROWNS RED 100 BOX 10CT,CIGARETTE,9,1.7,5.2,48,$31.47,$1510.56,INCREASING,$106.34,4
LOW,685141913008,24/7 RED KING BOX 10CT,CIGARETTE,233,3.1,75.4,679,$27.43,$18624.97,STABLE,$678.32,4
LOW,685141913121,24/7 MENTHOL KING BOX 10CT,CIGARETTE,194,3.9,49.8,448,$27.55,$12342.40,STABLE,$449.12,4
LOW,685141913046,24/7 GOLD KING BOX 10CT,CIGARETTE,119,2.5,48.0,432,$27.75,$11988.00,STABLE,$439.36,4
LOW,090600392674,CROWNS MENTHOL 100 BOX 10CT,CIGARETTE,70,3.1,22.9,206,$31.49,$6486.24,STABLE,$421.91,4
LOW,685141913114,24/7 SILVER 100 BOX 10CT,CIGARETTE,62,3.4,18.5,167,$27.75,$4634.25,STABLE,$162.32,4
LOW,076940197056,LD DARK GREEN 100 BOX 10CT,CIGARETTE,23,2.7,8.4,76,$29.10,$2211.60,INCREASING,$90.70,4
LOW,087393246154,RAVE MENTHON 100 BOX 10CT,CIGARETTE,7,4.0,1.8,16,$74.46,$1191.36,INCREASING,$24.22,13
LOW,076940197070,LD LIGHT GREEN 100 BOX 10CT,CIGARETTE,5,3.3,1.5,14,$30.14,$421.96,INCREASING,$10.20,4
