# AUTOMATED PURCHASE ORDER
# Supplier: SZ WHOLESALE
# Generated: 2025-09-06 16:56:21
# Total Items: 14
# Total Quantity: 2,568.0
# Estimated Value: $49,610.12
# Critical Items: 3
# Urgent Items: 5
#
# ORDERING LOGIC:
# - CRITICAL: Out of stock (0 units)
# - URGENT: Less than 2 weeks of stock
# - LOW: Less than 4 weeks of stock
# - Suggested quantity = 6 weeks supply + 50% safety stock
#
Priority,SKU,Description,Category,Current Stock,Weeks of Stock,Weekly Movement,Suggested Order Qty,Est. Cost Per Unit,Est. Total Cost,Demand Trend,8-Week Profit,Days Since Last Order
CRITICAL,025900229559,SS 2/1.29 30/2CT GRAPE,CIGARS,-1,-0.9,1.1,11,$0.00,$0.00,INCREASING,$121.41,Never
CRITICAL,031700900376,WO BLUNTS 50CT BOX - PEACH,CIGAR GA,0,0.0,0.2,3,$0.00,$0.00,DECREASING,$13.98,Never
CRITICAL,031700900987,WO 2/99 PEACH 30CT.,CIGARS,-2,-16.0,0.1,2,$0.00,$0.00,DECREASING,$5.49,Never
URGENT,025900249618,SS LEAF 3/2.49 10CT DARK LEAF,CIGARS,68,1.6,41.5,374,$15.25,$5703.69,DECREASING,$1905.51,40
URGENT,025900297695,SS BLK 2/1.49 15/2CT WINE,CIGARS,18,0.6,28.9,260,$12.60,$3276.00,DECREASING,$898.59,95
URGENT,031700237922,GAME 2/1.29 30/2CT WHITE GRAPE,CIGARS,1,0.2,4.8,43,$21.52,$925.36,DECREASING,$246.62,95
URGENT,025900278809,SS 2/$1.19 30/2CT - BLACK,CIGARS,2,0.7,2.9,26,$20.83,$541.47,DECREASING,$102.52,59
URGENT,031700237755,WO 2/1.19 30/2CT WHITE PEACH,CIGARS,2,1.1,1.9,17,$19.88,$337.89,DECREASING,$91.71,2
LOW,025900336875,SS BLK 2/1.49 30/2CT SMOOTH,CIGARS,510,3.6,141.2,1272,$23.35,$29701.20,STABLE,$10531.50,59
LOW,025900359522,SS LEAF 3/2.49 10CT SWEET AROM,CIGAR GA,129,2.6,49.9,449,$15.21,$6828.57,INCREASING,$1835.08,21
LOW,031700238004,GAME 2/1.29 30/2CT PINEAPPLE,CIGARS,16,3.9,4.1,38,$21.52,$817.68,STABLE,$213.45,21
LOW,031700237939,GAME 2/1.29 30/2CT GRAPE,CIGAR GA,18,3.9,4.6,42,$22.89,$961.27,STABLE,$168.31,21
LOW,031700237786,WO 2/1.19 30/2CT PINEAPPLE,CIGARS,8,2.8,2.9,26,$19.88,$516.98,STABLE,$140.53,59
LOW,031700238349,GAME LEAF 2/1.29 DK RUM 15/2CT,CIGARS,2,4.0,0.5,5,$0.00,$0.00,DECREASING,$14.96,Never
