# AUTOMATED PURCHASE ORDER
# Supplier: CORE-MARK DISTRIBUTORS INC
# Generated: 2025-08-18 12:17:13
# Total Items: 20
# Total Quantity: 469.0
# Estimated Value: $33,252.25
# Critical Items: 4
# Urgent Items: 3
#
# ORDERING LOGIC:
# - CRITICAL: Out of stock (0 units)
# - URGENT: Less than 2 weeks of stock
# - LOW: Less than 4 weeks of stock
# - Suggested quantity = 6 weeks supply + 50% safety stock
#
Priority,SKU,Description,Category,Current Stock,Weeks of Stock,Weekly Movement,Suggested Order Qty,Est. Cost Per Unit,Est. Total Cost,Demand Trend,8-Week Profit,Days Since Last Order
CRITICAL,028200304612,BASIC GOLD 100 BOX 10CT,CIGARETTE,-1,-0.2,4.5,41,$61.98,$2541.38,INCREASING,$965.12,0
CRITICAL,012300130134,VANTAGE KING BOX 10CT,CIGARETTE,0,0.0,1.1,11,$112.12,$1233.30,INCREASING,$61.92,0
CRITICAL,028200173904,VIRG SL MENTHOL GOLD 120 BOX,CIGARETTE,0,0.0,1.6,15,$90.52,$1357.78,INCREASING,$53.47,0
CRITICAL,043300065188,PALL MALL NON FILTER KING BOX,CIGARETTE,-1,-1.1,0.9,8,$113.84,$910.69,DECREASING,$27.42,0
URGENT,043300187361,LUCKY STRIKE MENTHOL SLV 100,CIGARETTE,5,1.8,2.8,25,$53.17,$1329.25,STABLE,$49.38,0
URGENT,027200205936,PALL MALL SELECT RED BOX 10CT,CIGARETTE,4,1.7,2.4,22,$54.18,$1191.92,STABLE,$42.72,0
URGENT,028200136909,MARL RED LABEL 100 BOX 10CT,CIGARETTE,1,1.1,0.9,8,$74.54,$596.32,STABLE,$33.34,0
LOW,043300109189,LUCKY STRIKE RED BOX 10CT,CIGARETTE,38,3.6,10.6,96,$56.12,$5387.81,DECREASING,$285.19,0
LOW,028200174406,VIRG SL MENTHOL SILVR BOX 10CT,CIGARETTE,10,2.6,3.9,35,$92.97,$3253.95,DECREASING,$117.13,0
LOW,028200172808,B&H LUXURY MENTHOL BOX ,CIGARETTE,12,4.0,3.0,27,$104.32,$2816.59,DECREASING,$84.92,0
LOW,027200205967,PALL MALL SELECT MENT BOX 10CT,CIGARETTE,8,2.6,3.1,29,$53.68,$1556.82,STABLE,$77.00,0
LOW,027200209545,PALL MALL SELECT BLUE 100 10CT,CIGARETTE,9,3.4,2.6,24,$53.68,$1288.40,DECREASING,$74.88,0
LOW,028200137609,MARL MENTHOL BLUE BOX 10CT,CIGARETTE,6,2.8,2.1,20,$79.85,$1597.07,INCREASING,$62.09,0
LOW,028200142405,MARL SOUTHERN CUT 10CT,CIGARETTE,5,3.1,1.6,15,$76.39,$1145.85,STABLE,$54.08,0
LOW,027200209514,PALL MALL SELECT MENT 100 10CT,CIGARETTE,15,3.8,4.0,36,$53.56,$1928.28,INCREASING,$48.22,0
LOW,012300327916,CAMEL TURKISH SILVER BOX 10CT,CIGARETTE,3,2.7,1.1,11,$88.59,$974.47,STABLE,$47.52,0
LOW,028200173508,VIRG SL GOLD 120 BOX 10CT,CIGARETTE,5,3.6,1.4,13,$90.21,$1172.76,STABLE,$40.49,0
LOW,026100805833,NEWPORT MENTHOL BLUE BOX 10CT,CIGARETTE,9,4.0,2.2,21,$86.62,$1819.12,DECREASING,$29.34,0
LOW,090500100379,WINST MENTHOL 100 BOX 10CT,CIGARETTE,2,3.2,0.6,6,$80.58,$483.50,DECREASING,$20.74,17
LOW,043300020583,CARLTON MENTHOL 100 BOX 10CT,CIGARETTE,2,3.2,0.6,6,$111.16,$666.98,DECREASING,$18.40,0
