# AUTOMATED PURCHASE ORDER
# Supplier: ALTADIS U.S.A INC
# Generated: 2025-08-18 12:17:13
# Total Items: 6
# Total Quantity: 471.0
# Estimated Value: $15,876.87
# Critical Items: 1
# Urgent Items: 2
#
# ORDERING LOGIC:
# - CRITICAL: Out of stock (0 units)
# - URGENT: Less than 2 weeks of stock
# - LOW: Less than 4 weeks of stock
# - Suggested quantity = 6 weeks supply + 50% safety stock
#
Priority,SKU,Description,Category,Current Stock,Weeks of Stock,Weekly Movement,Suggested Order Qty,Est. Cost Per Unit,Est. Total Cost,Demand Trend,8-Week Profit,Days Since Last Order
CRITICAL,071610341678,DM 2/1.29 30/2CT GREEN ENVY,CIGARS,0,0.0,2.5,23,$23.40,$538.20,DECREASING,$131.80,157
URGENT,071610341357,BACKWOODS 20/2CT BUNDLE,CIGARS,3,1.3,2.2,21,$108.42,$2276.82,DECREASING,$568.26,4
URGENT,071610502413,DM 4PK 5/4CT PALMA,CIGARS,6,1.8,3.2,30,$21.60,$648.00,INCREASING,$173.94,4
LOW,071610499508,DM 3PK 20/3CT PALMA BLUE,CIGARS,51,3.2,15.8,142,$32.82,$4660.44,STABLE,$1168.02,4
LOW,071610340565,BACKWOODS 5PK 8/5CT BANANA,CIGAR GA,62,3.7,16.8,151,$30.82,$4654.21,STABLE,$1075.86,4
LOW,071610340848,BACKWOODS 5PK 8/5CT VANILLA,CIGARS,39,3.4,11.5,104,$29.80,$3099.20,STABLE,$716.68,4
