# AUTOMATED PURCHASE ORDER
# Supplier: PETREY WHOLESALE CO
# Generated: 2025-08-18 12:17:13
# Total Items: 71
# Total Quantity: 45,968.0
# Estimated Value: $3,842,419.19
# Critical Items: 4
# Urgent Items: 27
#
# ORDERING LOGIC:
# - CRITICAL: Out of stock (0 units)
# - URGENT: Less than 2 weeks of stock
# - LOW: Less than 4 weeks of stock
# - Suggested quantity = 6 weeks supply + 50% safety stock
#
Priority,SKU,Description,Category,Current Stock,Weeks of Stock,Weekly Movement,Suggested Order Qty,Est. Cost Per Unit,Est. Total Cost,Demand Trend,8-Week Profit,Days Since Last Order
LOW,090500100041,MAVERICK MENTHOL 100 BOX 10CT,CIGARETTE,249,3.5,70.2,633,$62.10,$39307.72,STABLE,$1567.98,0
LOW,090500100171,KOOL MENTHOL BOX 10CT,CIGARETTE,65,2.2,30.1,272,$79.84,$21717.62,STABLE,$850.73,0
LOW,090500100195,KOOL MENTHOL 100 BOX 10CT,CIGARETTE,68,2.5,27.8,250,$79.84,$19961.05,STABLE,$783.66,0
LOW,090500100065,MAVERICK MENTHOL BOX 10CT,CIGARETTE,62,3.7,16.9,152,$61.76,$9388.08,INCREASING,$376.65,0
LOW,043300187187,LUCKY STRIKE MENTHOL 100 BOX ,CIGARETTE,45,2.9,15.5,140,$62.31,$8723.51,STABLE,$371.57,0
LOW,028200142207,MARL SB GOLD BOX  10CT,CIGARETTE,53,3.9,13.6,123,$78.31,$9632.27,STABLE,$368.21,0
LOW,028200196309,MARL 72 RED BOX 10CT,CIGARETTE,43,3.3,13.1,119,$78.27,$9314.27,STABLE,$364.87,0
LOW,028200334916,MARL BLACK GOLD 100 BOX ,CIGARETTE,18,3.6,5.0,45,$74.07,$3333.06,INCREASING,$349.60,0
LOW,090500100270,SALEM MENTHOL GOLD BOX 10CT,CIGARETTE,23,2.2,10.6,96,$92.06,$8837.76,STABLE,$342.35,0
LOW,028200196507,MARL 72 GOLD BOX 10CT,CIGARETTE,44,3.7,11.8,106,$78.22,$8290.86,STABLE,$340.48,0
LOW,090500100249,SALEM MENTHOL KING BOX 10CT,CIGARETTE,20,2.0,9.9,89,$91.58,$8150.44,STABLE,$307.05,0
LOW,047995855185,AMERICAN SPIRIT BLUE 10CT,CIGARETTE,42,3.5,12.0,108,$87.00,$9396.54,INCREASING,$280.14,0
LOW,043300187156,LUCKY STRIKE MENTHOL BOX 10CT,CIGARETTE,26,2.2,11.8,106,$57.23,$6066.65,STABLE,$279.48,0
LOW,090500100256,SALEM MENTHOL 100 BOX 10CT,CIGARETTE,18,2.0,8.9,80,$92.28,$7382.17,DECREASING,$259.05,0
LOW,028200132307,MARL MENTHOL SMOOTH BOX 10CT,CIGARETTE,19,2.2,8.8,79,$81.06,$6404.07,INCREASING,$254.10,0
LOW,090500100201,KOOL BLUE BOX 10CT,CIGARETTE,29,2.5,11.4,103,$80.63,$8304.46,DECREASING,$244.73,0
LOW,026100806571,NEWPORT NON MNTH RED 100 BOX,CIGARETTE,30,2.9,10.2,93,$76.09,$7076.00,STABLE,$210.56,0
LOW,028200148506,MARL MENTHOL SILVER 100 BOX ,CIGARETTE,15,2.0,7.4,67,$81.49,$5459.68,INCREASING,$207.30,0
LOW,090500100096,WINST RED KING BOX 10CT,CIGARETTE,17,2.4,7.1,65,$79.63,$5176.11,INCREASING,$194.41,0
LOW,090500100003,MAVERICK RED 100 BOX 10CT,CIGARETTE,25,2.6,9.6,87,$61.86,$5381.45,STABLE,$191.43,0
LOW,027200018659,PALL MALL MENTHOL 100 BOX 10CT,CIGARETTE,27,3.5,7.6,69,$74.93,$5169.87,DECREASING,$161.03,0
LOW,028200310217,L&M BLUE 100 BOX 10CT,CIGARETTE,16,2.6,6.2,57,$75.56,$4307.06,INCREASING,$160.78,0
LOW,028200172365,B&H PREMIUM MENTHOL BOX 10CT,CIGARETTE,12,2.1,5.6,51,$104.62,$5335.68,DECREASING,$138.35,0
LOW,047995855345,AMERICAN SPIRIT TURQUISE 10CT,CIGARETTE,25,3.6,6.9,62,$91.34,$5662.93,INCREASING,$137.70,0
LOW,028200177506,VIRG SL RED SPSL 10CT,CIGARETTE,13,4.0,3.2,30,$90.08,$2702.46,INCREASING,$134.78,0
LOW,028200177407,VIRG SL MENTHOL BOX 10CT,CIGARETTE,13,2.9,4.5,41,$91.13,$3736.17,STABLE,$132.28,0
LOW,028200179104,PARLIAMENT WHITE 100 BOX 10CT,CIGARETTE,12,2.7,4.5,41,$91.38,$3746.53,INCREASING,$125.28,0
LOW,027200207022,CAPRI MENTHOL INDIGO 100 BOX ,CIGARETTE,7,2.9,2.4,22,$117.42,$2583.26,DECREASING,$116.34,0
LOW,027200011179,CAPRI MNTH INDIGO 120 BOX 10CT,CIGARETTE,7,4.0,1.8,16,$116.30,$1860.80,DECREASING,$100.00,0
LOW,027200347308,PALL MALL MNTH WHITE BOX 10CT,CIGARETTE,8,2.8,2.9,26,$72.91,$1895.66,DECREASING,$83.10,0
LOW,026100016291,NEWPORT PLATINUM BLUE BOX 10CT,CIGARETTE,23,3.5,6.6,60,$83.44,$5006.60,INCREASING,$74.49,0
LOW,028200173300,VIRG SL GOLD BOX 10CT,CIGARETTE,8,3.6,2.2,21,$88.63,$1861.19,INCREASING,$63.50,0
LOW,090500100034,MAVERICK RED KING BOX 10CT,CIGARETTE,7,2.9,2.4,22,$61.38,$1350.30,INCREASING,$51.71,0
LOW,028200137708,MARL MENTHOL BLUE 100 10CT,CIGARETTE,2,2.3,0.9,8,$64.45,$515.58,STABLE,$32.91,0
LOW,090500100058,MAVERICK GOLD 100 BOX 10CT,CIGARETTE,7,4.0,1.8,16,$61.27,$980.32,INCREASING,$26.70,0
LOW,043300029081,CARLTON RED BX,CIGARETTE,2,4.0,0.5,5,$106.23,$531.17,STABLE,$19.82,0
