# AUTOMATED PURCHASE ORDER
# Supplier: PETREY WHOLESALE CO
# Generated: 2025-08-18 12:17:13
# Total Items: 71
# Total Quantity: 45,968.0
# Estimated Value: $3,842,419.19
# Critical Items: 4
# Urgent Items: 27
#
# ORDERING LOGIC:
# - CRITICAL: Out of stock (0 units)
# - URGENT: Less than 2 weeks of stock
# - LOW: Less than 4 weeks of stock
# - Suggested quantity = 6 weeks supply + 50% safety stock
#
Priority,SKU,Description,Category,Current Stock,Weeks of Stock,Weekly Movement,Suggested Order Qty,Est. Cost Per Unit,Est. Total Cost,Demand Trend,8-Week Profit,Days Since Last Order
CRITICAL,090500100294,SALEM MENTHOL SILVER BOX 10CT,CIGARETTE,-1,-0.3,3.2,30,$89.67,$2690.05,DECREASING,$128.70,0
CRITICAL,028200181503,PARLIAMENT SILVER BOX 10CT,CIGARETTE,-1,-4.0,0.2,3,$80.66,$241.97,DECREASING,$20.30,0
CRITICAL,681467003584,SENECA SILVER BOX 10CT,CIGARETTE,0,0.0,0.2,3,$0.00,$0.00,DECREASING,$9.60,Never
CRITICAL,708926565244,WILDHORSE SILVER KING BOX 10CT,CIGARETTE,0,0.0,0.1,2,$0.00,$0.00,DECREASING,$6.99,Never
URGENT,026100805734,NEWPORT MENTHOL 100 BOX 10CT,CIGARETTE,914,0.5,1896.9,17072,$87.08,$1486547.81,INCREASING,$20065.05,0
URGENT,026100805758,NEWPORT MENTHOL BOX 10CT,CIGARETTE,1046,0.9,1210.1,10892,$86.96,$947161.78,INCREASING,$13338.33,0
URGENT,028200138408,MARL GOLD BOX 10CT,CIGARETTE,646,1.2,534.6,4812,$78.34,$376985.07,INCREASING,$11599.12,0
URGENT,028200135704,MARL RED KING BOX 10CT,CIGARETTE,214,0.8,269.4,2425,$78.46,$190262.59,INCREASING,$5962.98,0
URGENT,028200195203,MARL SB BLACK BOX 10CT,CIGARETTE,38,0.8,50.5,455,$74.16,$33743.48,STABLE,$3137.40,0
URGENT,028200146502,MARL GOLD 100 BOX 10CT,CIGARETTE,196,1.7,116.9,1052,$78.36,$82433.46,INCREASING,$2272.21,0
URGENT,028200195401,MARL MENTHOL BLACK BOX 10CT,CIGARETTE,30,1.2,24.1,218,$74.57,$16255.82,STABLE,$2149.44,0
URGENT,028200195302,MARL SB BLACK 100 BOX 10CT,CIGARETTE,36,1.1,31.5,284,$74.27,$21091.71,STABLE,$1964.46,0
URGENT,028200196408,MARL MENTHOL BLACK 100 BX 10CT,CIGARETTE,28,1.6,17.5,158,$74.69,$11800.23,STABLE,$1567.80,0
URGENT,028200303714,BASIC RED BOX 10CT,CIGARETTE,4,0.9,4.5,41,$61.55,$2523.62,INCREASING,$961.58,0
URGENT,028200304018,BASIC RED 100 BOX 10CT,CIGARETTE,6,1.4,4.4,40,$62.94,$2517.40,INCREASING,$938.18,0
URGENT,028200304315,BASIC GOLD BOX 10CT,CIGARETTE,1,0.2,4.0,36,$61.55,$2215.80,INCREASING,$843.20,0
URGENT,012300193139,CAMEL CRUSH MENTHOL BOX 10CT,CIGARETTE,38,1.1,33.1,299,$81.90,$24488.37,STABLE,$642.36,0
URGENT,012300194136,CAMEL CRUSH MENTHOL SILVER BOX,CIGARETTE,36,1.2,29.0,261,$81.91,$21379.21,INCREASING,$574.62,0
URGENT,012300197403,CAMEL CRUSH REG BOX 10CT,CIGARETTE,51,1.9,27.0,243,$81.33,$19762.73,STABLE,$556.82,0
URGENT,028200196200,MARL 72 GREEN BOX 10CT,CIGARETTE,37,1.9,19.0,171,$81.20,$13885.20,STABLE,$549.62,0
URGENT,028200334817,MARL BLACK GOLD BOX 10CT,CIGARETTE,14,1.6,8.6,78,$74.31,$5796.09,INCREASING,$536.02,0
URGENT,012300107136,CAMEL BLUE  BOX  10CT,CIGARETTE,29,1.4,20.6,186,$81.91,$15235.76,STABLE,$401.60,0
URGENT,090500100287,SALEM MENTHOL GOLD 100 BX 10CT,CIGARETTE,12,0.9,12.8,115,$91.92,$10571.01,STABLE,$342.50,0
URGENT,043300187606,LUCKY STRIKE ACTIVATE BLU 10CT,CIGARETTE,25,1.5,16.2,147,$58.37,$8580.68,INCREASING,$332.60,0
URGENT,043300109271,LUCKY STRIKE RED 100 BOX 10CT,CIGARETTE,20,2.0,10.0,90,$55.53,$4997.59,STABLE,$293.65,0
URGENT,028200142306,MARL SB GOLD 100 BOX 10CT,CIGARETTE,3,0.4,6.8,61,$78.34,$4778.48,STABLE,$222.48,0
URGENT,090500100119,WINST GOLD BOX 10CT,CIGARETTE,9,0.9,10.4,94,$80.12,$7531.39,INCREASING,$202.89,0
URGENT,028200310019,L&M BLUE BOX 10CT,CIGARETTE,11,1.6,7.0,63,$75.96,$4785.71,INCREASING,$183.80,0
URGENT,090500100263,SALEM MENTHOL SLIM 100 BOX 10C,CIGARETTE,6,1.0,5.9,53,$83.17,$4407.85,STABLE,$182.25,0
URGENT,027200018543,PALL MALL BLUE BOX 10CT,CIGARETTE,10,1.6,6.4,58,$74.38,$4314.13,STABLE,$123.08,0
URGENT,090500100133,WINST WHITE BOX 10CT,CIGARETTE,3,0.7,4.1,38,$79.53,$3021.98,INCREASING,$116.49,0
LOW,028200317711,MARL NXT BOX 10CT,CIGARETTE,85,2.1,39.6,357,$74.62,$26638.91,STABLE,$2467.16,0
LOW,028200136305,MARL RED 100 BOX 10CT,CIGARETTE,245,2.2,110.1,992,$78.46,$77836.59,INCREASING,$2076.52,0
LOW,026100805789,NEWPORT MENTHOL SOFT 10CT,CIGARETTE,256,2.5,102.2,921,$86.22,$79409.63,STABLE,$1712.64,0
LOW,026100805772,NEWPORT MENTHOL SOFT 100 10CT,CIGARETTE,314,3.3,95.2,858,$86.22,$73977.70,STABLE,$1651.06,0
