year,wholesale_sales,retail_sales,wholesale_gp,retail_gp,total_sales,total_gp
2025,4510921.849999999,16509444.820100186,79431.84933099996,1234103.5908109895,21020366.670100186,1313535.4401419894
2024,1699663.5099999995,14865506.100000197,-31798.76794300004,1282205.0802569904,16565169.610000197,1250406.3123139904
2023,2105105.9499999993,19440992.1317001,69383.458292,1715258.3236199897,21546098.081700098,1784641.7819119897
2022,4106434.1100000027,19481436.3240002,65872.881063,1679114.452344991,23587870.4340002,1744987.333407991
2021,2579887.5576000013,19844645.693300094,-565585.8808959998,1351496.46665099,22424533.250900097,785910.5857549902
