year,wholesale_sales,retail_sales,wholesale_gp,retail_gp,total_sales,total_gp
2024,2856110.290000002,23477499.024999976,-38490.93280900008,1917036.0059579895,26333609.31499998,1878545.0731489894
2023,4070932.98,30377345.101699915,93402.62017199992,2584032.7399619976,34448278.081699915,2677435.3601339976
2022,5177740.980000002,31078959.203199815,86482.83775299994,2623659.425699004,36256700.183199815,2710142.2634520037
2021,4188878.997600004,31856293.294499587,-522137.30999599834,2293757.5098269833,36045172.292099595,1771620.199830985
2020,3041551.6374000036,21611854.78250006,91203.37133800011,1307114.3981639924,24653406.419900063,1398317.7695019925
