month,month_name,wholesale_sales,retail_sales,wholesale_gp,retail_gp
1,January,227831.38999999998,1988517.919999998,4982.881226999987,148316.3803949992
2,February,122555.94,1928629.1999999932,3469.069304000007,130436.60974299938
3,March,273727.54,2251463.32,7492.100599999987,143261.40734099929
4,April,495395.13,2298144.080099994,6817.0556000000115,177193.63941699933
5,May,305396.6100000001,2349639.6999999927,3563.019999999987,181435.87135299915
6,June,814470.75,2176228.2399999974,15116.905600000022,174139.85971999896
7,July,1125235.6200000006,2311415.5599999963,17454.37999999997,186762.22261899922
8,August,1147958.87,1239541.5099999956,20668.437000000024,95239.25817599944
