20819500024867,93
41985453603,1
619682587336,10
619682587411,34
619682993236,1
619683001459,5
619683001275,4
619683001398,4
619683001428,4
619683001510,4
81819780871,0
525200111221,0
525200199557,0
802501105723,0
802501112226,0
802507774442,0
815970020312,0
815970020299,0
815970020275,0
619682587398,8
10854029008694,1
10850018987056,-1
619682577641,36
619682999412,31
619683001244,3
619683001336,3
619683001305,2
842426152761,0
842426152792,0
649964319874,10
649964319881,12
50854029008043,2
110854029008489,3
619683001367,1
619682993052,0
619682070111,0
619682621245,0
619682999269,0
619682993380,0
619682996374,0
649964319867,11
784762078735,6
842426153300,0
842426153270,0
842426152822,0
842426153331,0
842426144759,0
842426143783,0
842426143806,0
842426144735,0
842426144711,0
842426145008,0
842426144988,0
784762072160,0
619682994141,0
619682995049,0
619682001658,0
619682020680,0
619682577528,0
784762078780,4
719499005013,56
815970020336,0
769256453236,689
769256453328,231
619682993205,0
769256453656,95
818892013288,0
619682070265,0
619682993083,0
619682004017,16
619682004161,15
619682010056,0
812319010355,0
812319010539,0
649964319911,8
784762078971,4
812319010447,0
812319010119,0
818892019211,0
812319010089,0
812319010027,0
812319010294,0
812319010263,0
812319010232,0
812319010058,0
812319010201,0
812319010324,0
784762072054,0
784762072047,18
649964320023,13
10850018987032,82
784762078476,3
784762078889,0
619682560230,8
619682030283,11
784762078575,0
784762078858,-2
619682587435,71
619682587374,77
619682001566,83
860009348349,0
860009348356,0
860009348370,0
619682030221,72
619682573919,39
619682030160,50
619682030405,22
619682577405,55
619682577467,135
619682577603,82
619682587350,79
619682021045,102
619682005458,70
619682994172,-2
619682004109,15
649964320030,11
619682010025,0
784762072184,0
818892014285,0
619682009999,0
649964319904,14
619682993410,0
649964319898,11
816450010342,1
10856064000152,19
769256453649,96
784762072139,0
817458027431,0
817458027448,0
817458027455,1
817458027462,-3
840439106221,0
784762072115,23
784762072078,10
784762078773,54
784762072030,26
784762072108,53
784762072146,25
784762072016,27
784762072023,0
810146970156,96
810146970217,72
817458027424,0
810146970132,143
784762079008,1
810146970125,71
840439106191,0
810146970187,142
784762071668,-8
840439106139,0
10854029008755,85
784762070135,13
738607282993,0
784762078285,22
619682999191,29
619682010087,0
619682993175,0
810146970231,70
