msa_customer_number,msa_shipping_number,msa_name,msa_address,msa_city,msa_state,pos_account_number,pos_name,match_type,confidence,weeks_active
42983322,0,PANI INVESTMENT LLC,3874 E PONCE DE LEON AVE,CLARKSTON,GA,4042983322,PANI INVESTMENT LLC,exact_name,high,2
42998926,0,ARCADE INTERNATIONAL INC,4463 ROCKBRIDGE ROAD,STONE MOUNTAIN,GA,4042948409,AL RAHIM INC,address,medium,1
42999739,0,ANIL INVESTMENT LLC CITGO FM/S,3580 NORTH DECATUR RD,SCOTTDALE,GA,4046349942,ANIL INVESTMENT LLC/CITGO/K,fuzzy_name,medium,5
43037460,0,5005 SNAPFINGER MART INC,"5005 SNAPFINGER WOODS DR, STE D",DECATUR,GA,4704303746,5005 SNAPFINGER MART INC/FOOD MART D,address,medium,4
43266796,0,EXPRESSO FOOD AND GAS INC,3484 CHAMBLEE TUCKER RD,CHAMBLEE,GA,4043266796,EXPRESSO FOOD AND GAS INC,exact_name,high,1
43430083,0,SHASEE PRIME LLC,1420 CUSTER AVE SE,ATLANTA,GA,4043430083,SHASEE PRIME LLC/ CUSTER FOOD MART,address,medium,6
43430707,0,PONCE MANDIR LLC,1161 PONCE DE LEON AVE NE,ATLANTA,GA,4043430707,"JENA INVESTMENTS, INC. EXXON FOOD MART",address,medium,7
43431642,0,MM PRIME 1771 INC,1771 CENTRA VILLA DR SW,ATLANTA,GA,4043431642,MM PRIME 1771 INC,exact_name,high,6
43433954,0,INTERNATIONAL GROCERY MARKET LLC,953 MONTREAL RD,CLARKSTON,GA,4043433954,INTERNATIONAL GROCERY MARKET LLC,exact_name,high,1
43612541,0,HALLA INVESTMENT LLC,3097 MORELAND AVE,CONLEY,GA,9018548333,BYHALIA INVESTMENT LLC,fuzzy_name,medium,4
43619222,0,TRUSHA BUSINESS INC/BP,5210 HIGHWAY 42,ELLENWOOD,GA,4043619222,TRUSHA BUSINESS INC/BP,exact_name,high,1
43620744,0,NYSAH ENTERPRISES LLC,4926 OLD DIXIE HWY,FOREST PARK,GA,7067521148,YANA ENTERPRISES LLC,fuzzy_name,medium,8
43631470,0,GANDHI WHOLESALE/TRIDENT WHLS,103 FOREST PKWY STE A,FOREST PARK,GA,4043631470,GANDHI WHOLESALE/TRIDENT WHLS ,exact_name,high,1
43633593,0,ANVIL BLOCK EXXON/ARA,2360 ANVIL BLOCK RD,ELLENWOOD,GA,4043633593,EXXON FOOD MART,address,medium,3
43666162,0,HAHYO INVESTMENT LLC,3100 MORELAND AVE,CONLEY,GA,012345,AAY INVESTMENT LLC,fuzzy_name,medium,2
43700396,0,GENENE HELEN INC,1621 MEMORIAL DR SE,ATLANTA,GA,4043700396,GENENE HELEN INC,exact_name,high,3
