msa_customer_number,msa_shipping_number,msa_name,msa_address,msa_city,msa_state,msa_phone,pos_account_number,pos_name,match_type,confidence,matched_key,weeks_active
34255140,0,CHUN BIN KU,388 LUCKIE ST NW,ATLANTA,GA,,4703425514,LUCKIE STREET GROCERY,account_key,high,34255140,4
38006872,0,NASDAQQ300 LLLP,844 MARTIN LUTHER KING JR DR SW,ATLANTA,GA,,8038006872,NASDAQQ300 LLLP/ESSENTIAL MARKET,account_key,high,38006872,1
39368390,0,RS FUN & FILLING LLC,2164 SALEM ROAD SE,CONYERS,GA,,4703936839,RS FUN & FILLING LLC,account_key,high,39368390,4
39917520,0,MANIRATNA INC,4900 BUENA VISTA RD,COLUMBUS,GA,,4703991752,MANIRATNA INC,account_key,high,39917520,1
40581140,0,SEYAN SOUTH COBB INC,2711 S COBB DR SE,SMYRNA,GA,,7704058114,SEYAN SOUTH COBB INC,account_key,high,40581140,2
41349390,0,GLENWOOD CHEVRON LLC,4480 GLENWOOD RD,DECATUR,GA,,4704134939,GLENWOOD CHEVRON LLC,account_key,high,41349390,2
41852450,0,CITGO/ROCKBRIDE,4420 ROCKBRIDGE RD,ROCKBRIDGE,GA,,4704185245,CITGO/ROCKBRIDE,account_key,high,41852450,4
42281295,0,GRIVA ENTERPRISES LLC,2668-2670 GODBY ROAD RM ROOM,COLLEGE PARK,GA,,4042281295,GRIVA ENTERPRISES LLC,account_key,high,42281295,1
42283832,0,LEE PICK AND PAY INC,6142 OLD DIXIE HWY,FOREST PARK,GA,,4042283832,LEE PICK AND PAY INC,account_key,high,42283832,1
42287062,0,FIFI PKG/MENGHISTEAB,4848 MEMORIAL DR,STN MTN,GA,,4042287062,FIFI PKG/MENGHISTEAB,account_key,high,42287062,2
42360022,0,TRUSHA ROSWELL INC,5000 ROSEWELL ROAD,"SUITE C, ATLANTA",GA,,4042360022,TRUSHA ROSWELL INC,account_key,high,42360022,4
42379366,0,BROOKHEAVEN/CHEVRON FOOD MART,4234 PEACHTREE RD NE,ATLANTA,GA,,4042379366,PEACHTREE CHEVRON/BROOKHEAVEN,account_key,high,42379366,4
42412778,0,LUCKY#7 FOOD MART,3542 FLAT SHOLS RD,DECATUR,GA,,4042412778,LUCKY#7 FOOD MART,account_key,high,42412778,1
42416622,0,EMINENT RAJ INC,2701 CANDLER RD.,DECATUR,GA,,4042416622,SHELL CANDLER LLC/SHELL FOOD MART ,account_key,high,42416622,6
42431786,0,A&M TRADE INC/CHEVRON F M/GRA,3726 PANTHERSVILLE RD,DECATUR,GA,,4042431786,YOHANA INC/CHEVRON ,account_key,high,42431786,6
42437864,0,FLAT SHOALS NEIGHBORHOOD,3402 FLAT SHOALS RD,DECATUR,GA,,4042437864,"FLAT SHOALS NEIGHBORHOOD STORE,INC",account_key,high,42437864,7
42445493,0,DISCOUNT FOOD MARKET,886 BOULDERCREST DR,ATLANTA,GA,,4042445493,DISCOUNT FOOD MART/BOULDERCREST INC,account_key,high,42445493,6
42445980,0,TOP CLOUD 2,10339 TARA BLVD,JONESBORO,GA,,4704244598,"TOP CLOUD 2/RAHEEN ENTERPRISE, INC",account_key,high,42445980,3
42449642,0,FARMM PACKAGE STORE,2594 CANDLER ROAD,DECATUR,GA,,4042449642,FARMM PACKAGE STORE LLC/BIG MAN PACKAGE,account_key,high,42449642,1
42457686,0,PAYLESS WAREHOUSE INC,2409 EAST SOUTH BLVD,MONTGOMERY,AL,,3342457686,PAYLESS WAREHOUSE INC,account_key,high,42457686,1
42499311,0,INSHA INVEST NORTH AVE FD MT,"605 BOULEVARD NE, BLDG A",ATLANTA,GA,,4042499311,INSHA INVEST NORTH AVE FD MT ,account_key,high,42499311,6
42541078,0,RONALD FOOD MARKET LLC,1576 JOSEPH E BOONE BLVD,ATLANTA,GA,,4042541078,RONALD FOOD MARKET LLC,account_key,high,42541078,2
42545801,0,MEMORIAL FOOD MART LLC,4959 MEMORIAL DR # A5,STM MTN,GA,,4042545801,MEMORIAL FOOD MART LLC,account_key,high,42545801,4
42570245,0,NORCROSS TOBACCO & VAPE INC,6050 SINGLETON RD STE 208,NORCROSS,GA,,9542570245,NORCROSS TOBACCO & VAPE INC,account_key,high,42570245,4
42665130,0,CANTON FOOD MART USA,3190 CANTON RD,MARIETTA,GA,,7704266513,CANTON FOOD MART USA,account_key,high,42665130,2
42713900,0,T & T USA INC/STOP & SAVE,4601 SATELLITE BLVD STE 8,DULUTH,GA,,4042713900,SONNI GAS VENTURE LLC,account_key,high,42713900,3
42714678,0,CITGO QUICK SERVICES,200 UPPER RIVERDALE RD,JONESBORO,GA,,4042714678,SEANS COUNTRY STOP,account_key,high,42714678,8
42723742,0,GREENSBORO FIRST LLC,4160 VEAZEY RD,GREENSBORO,GA,,4042723742,GREENSBORO FIRST LLC,account_key,high,42723742,5
42733660,0,SJB INC./CITGO FOOD MART,1175 POWDER SPRING,MARIETTA,GA,,7704273366,1175 CHEVRON MINI MART LLC,account_key,high,42733660,5
42847400,0,ADOMYA INC L & B LOTTO GROCERY,4085 GLENNWOOD ROAD,DECATUR,GA,,4042847400,ADOMYA INC L & B LOTTO GROCERY,account_key,high,42847400,6
42847879,0,CANDLER MART PETRO INC,2075 CANDLER RD,DECATUR,GA,,4042847879,CANDLER SHELL MART ,account_key,high,42847879,7
42860712,0,DEES LIQUOR STORE,2007 CANDLER RD STE A,DECATUR,GA,,4042860712,DEES LIQUOR STORE,account_key,high,42860712,8
42862286,0,CHEVRON FOOD MART/SHAMANTA INC,2450 CANDLER RD,DECATUR,GA,,4042862286,CHEVRON FOOD MART/SHAMANTA INC,account_key,high,42862286,7
42880344,0,KASHMIR INC/CHEVRON FOOD MART,3557 MEMORIAL DR,DECATUR,GA,,4042880344,CHEVRON MEMORIAL LLC,account_key,high,42880344,4
42922403,0,SHELL AT MEMORIAL DRIVE,4837 MEMORIAL DRIVE,STONE MTN,GA,,4042922403,SHELL AT MEMORIAL DRIVE,account_key,high,42922403,4
42922594,0,1 GEORGIA WHOLESALE,2935 NORTH DECATUR RD,DECATUR,GA,0.0,4042922594,GEORGIA WHOLESALE,account_key,high,42922594,2
42923231,0,HWY 53 ENTERPRISES LLC,AMOCO FOOD MART 3384 EAST PONCE DE LEON AVE,SCOTTDALE,GA,,4042923231,SCOTTDALE LLC,account_key,high,42923231,2
