Record,,3 Digit UPC,4 Digit UPC,5 Digit UPC,6 Digit UPC,7 Digit UPC,8 Digit UPC,9 Digit UPC,10 Digit UPC,11 Digit UPC,12 Digit UPC,13 Digit UPC,14 Digit UPC,15 Digit UPC,3 Digit UPC MATCH,4 Digit UPC MATCH,5 Digit UPC MATCH,6 Digit UPC MATCH,7 Digit UPC MATCH,8 Digit UPC MATCH,9 Digit UPC MATCH,10 Digit UPC MATCH,11 Digit UPC MATCH,12 Digit UPC MATCH,13 Digit UPC MATCH,14 Digit UPC MATCH,15 Digit UPC MATCH,TRUE MATCH,
BID,60924992041600609249920416ZYN 3MG CHILL 5CT                                                                                   000005N      003231                                                                                                 00300000000078,609,6092,60924,609249,6092499,60924992,609249920,6092499204,60924992041,609249920416,6092499204160,60924992041600,6092499204160,0,0,0,0,0,0,0,0,0,6.0925E+11,0,0,0,1,
BID,Z2400000000000Z24ZONE DISPLAY 24CT                                                                                   000024N      003231                                                                                                 00300000000009,Z24,Z240,Z2400,Z24000,Z240000,Z2400000,Z24000000,Z240000000,Z2400000000,Z24000000000,Z240000000000,Z2400000000000,Z240000000000,Z24,0,0,0,0,0,0,0,0,0,0,0,0,0,
BID,88796901177900887969011779ZONE 9MM 5CT WINTERGREEN                                                                            000005N      003231                                                                                                 00300000000019,887,8879,88796,887969,8879690,88796901,887969011,8879690117,88796901177,887969011779,8879690117790,88796901177900,8879690117790,0,0,0,0,0,0,0,0,0,8.87969E+11,0,0,0,1,
BID,88796901179300887969011793ZONE 9MM 5CT TOBACCO                                                                                000005N      003231                                                                                                 00300000000017,887,8879,88796,887969,8879690,88796901,887969011,8879690117,88796901179,887969011793,8879690117930,88796901179300,8879690117930,0,0,0,0,0,0,0,0,0,8.87969E+11,0,0,0,1,
BID,88796901175500887969011755ZONE 9MM 5CT SPEARMINT                                                                              000005N      003231                                                                                                 00300000000013,887,8879,88796,887969,8879690,88796901,887969011,8879690117,88796901175,887969011755,8879690117550,88796901175500,8879690117550,0,0,0,0,0,0,0,0,0,8.87969E+11,0,0,0,1,
BID,88796901173100887969011731ZONE 9MM 5CT PEPPERMINT                                                                             000005N      003231                                                                                                 00300000000016,887,8879,88796,887969,8879690,88796901,887969011,8879690117,88796901173,887969011731,8879690117310,88796901173100,8879690117310,0,0,0,0,0,0,0,0,0,8.87969E+11,0,0,0,1,
BID,88796901171700887969011717ZONE 9MM 5CT MINT                                                                                   000005N      003231                                                                                                 00300000000017,887,8879,88796,887969,8879690,88796901,887969011,8879690117,88796901171,887969011717,8879690117170,88796901171700,8879690117170,0,0,0,0,0,0,0,0,0,8.87969E+11,0,0,0,1,
BID,88796901167000887969011670ZONE 9MM 5CT DRAGONFRUIT                                                                            000005N      003231                                                                                                 00300000000016,887,8879,88796,887969,8879690,88796901,887969011,8879690116,88796901167,887969011670,8879690116700,88796901167000,8879690116700,0,0,0,0,0,0,0,0,0,8.87969E+11,0,0,0,1,
BID,88796901169400887969011694ZONE 9MM 5CT CITRUS                                                                                 000005N      003231                                                                                                 00300000000018,887,8879,88796,887969,8879690,88796901,887969011,8879690116,88796901169,887969011694,8879690116940,88796901169400,8879690116940,0,0,0,0,0,0,0,0,0,8.87969E+11,0,0,0,1,
BID,88796901189200887969011892ZONE 6MM 5CT WINTERGREEN                                                                            000005N      003231                                                                                                 00300000000016,887,8879,88796,887969,8879690,88796901,887969011,8879690118,88796901189,887969011892,8879690118920,88796901189200,8879690118920,0,0,0,0,0,0,0,0,0,8.87969E+11,0,0,0,1,
