ONE WEEK CIGARETTE ORDER - For Tuesday Delivery
Generated: 2025-09-06 17:00:58

SUPPLIER: B2B USA LLC
Description,SKU,Current Stock,Weekly Sales,Order Qty,Unit Cost,Total Cost
PYRAMID RED 100 BOX 10CT,011000104087,11,0,1,$65.11,$65.11
EAGLE 20 MENTHOL SILVER 100 BX,011000294108,7,0,1,$56.70,$56.70
EAGLE 20 BLUE 100 BOX 10CT,011000287087,14,0,1,$58.55,$58.55
EAGLE 20 MENTHOL SILVER BOX ,011000285083,3,0,1,$49.60,$49.60
LD LIGHT GREEN BOX 10CT,076940197063,5,0,1,$30.14,$30.14
305'S BLUE 100 BOX 10CT,709215302151,14,0,1,$31.59,$31.59
PYRAMID ORANGE 100 BOX 10CT,011000104131,6,0,1,$67.26,$67.26
PYRAMID ORANGE BOX 10CT,011000104124,2,0,1,$67.26,$67.26

,,,,Subtotal: 720,,"$22,539.54"

SUPPLIER: CAM TRADING INC
Description,SKU,Current Stock,Weekly Sales,Order Qty,Unit Cost,Total Cost
TETON 6 BLUE 100 BOX 10CT,853272008201,29,3,3,$23.29,$69.87
TETON 18 GREEN BOX 10CT,853272008164,37,3,3,$23.29,$69.87

,,,,Subtotal: 6,,$139.74

SUPPLIER: CORE-MARK DISTRIBUTORS INC
Description,SKU,Current Stock,Weekly Sales,Order Qty,Unit Cost,Total Cost
PALL MALL SELECT MENT 100 10CT,027200209514,5,7,8,$51.21,$409.68
PALL MALL MNTH BLACK 100 BOX,027200347278,5,5,6,$76.50,$459.00
L&M BLUE BOX 10CT,028200310019,10,5,5,$78.52,$392.60
L&M BLUE 100 BOX 10CT,028200310217,13,4,5,$78.52,$392.60
PALL MALL SELECT MENT BOX 10CT,027200205967,13,4,4,$51.21,$204.84
BASIC RED BOX 10CT,028200303714,8,3,4,$61.25,$245.00
WINST WHITE BOX 10CT,090500100133,7,3,4,$81.76,$327.04
PALL MALL SELECT RED 100 10CT,027200209576,12,3,4,$51.21,$204.84
LUCKY STRIKE MENTHOL SLV 100,043300187361,9,3,3,$59.33,$177.99
BASIC RED 100 BOX 10CT,028200304018,7,3,3,$61.25,$183.75
PALL MALL SELECT BLUE 100 10CT,027200209545,13,2,2,$51.21,$102.42
VIRG SL SILVER 120 BOX 10CT,028200195807,8,2,2,$96.10,$192.20
VIRG SL MENTHOL GOLD 120 BOX,028200173904,4,1,2,$96.10,$192.20
PALL MALL SELECT RED BOX 10CT,027200205936,10,1,2,$51.21,$102.42
VANTAGE KING BOX 10CT,012300130134,3,1,1,$121.76,$121.76
BASIC MNTH GOLD 100 BOX 10CT,028200304513,13,1,1,$61.25,$61.25
BASIC MENTHOL GOLD BOX 10CT,028200304216,12,1,1,$61.25,$61.25
CAMEL PLATINUM BOX 10CT,012300215138,21,1,1,$73.47,$73.47
LD $0.50OFF RED BOX,076940197209,1,1,1,$27.71,$27.71
CAMEL TURKISH SILVER BOX 10CT,012300327916,6,1,1,$95.61,$95.61
PALL MALL SELECT BLUE BOX 10CT,027200205905,12,1,1,$51.21,$51.21
AMERICAN SPIRIT CELADON 10CT,047995855314,5,1,1,$88.59,$88.59
MARL 83 BOX 10CT,028200318510,6,1,1,$78.66,$78.66
PARLIAMENT BLUE BOX 10CT,028200179203,4,1,1,$94.12,$94.12
CAPRI MAGENTA 100 BOX 10CT,027200207008,5,1,1,$119.02,$119.02
PALL MALL NON FILTER KING BOX,043300065188,5,0,1,$121.79,$121.79
DORAL MENTHOL GOLD BOX 10CT,012300842136,38,0,1,$81.07,$81.07
MARL RED LABEL 100 BOX 10CT,028200136909,4,0,1,$80.36,$80.36
WINST BLACK BOLD & SMOOTH,090500100324,6,0,1,$81.76,$81.76
L&M TURKISH BLEND BOX 10CT,028200313911,3,0,1,$78.12,$78.12
CAMEL CRUSH MENT SMTH SLV 10CT,012300119900,7,0,1,$84.57,$84.57
AMERICAN SPIRIT NON FILTR 10CT,047995200015,2,0,1,$86.72,$86.72
AMERICAN SPIRIT GRAY 10CT,047995856021,0,0,1,$84.96,$84.96

,,,,Subtotal: 73,,"$5,158.58"

SUPPLIER: COSTCO WHOLESALE MORROW
Description,SKU,Current Stock,Weekly Sales,Order Qty,Unit Cost,Total Cost
CAPRI VIOLET 100 BOX 10CT,027200207046,10,1,1,$107.55,$107.55
CAPRI MENTHOL JADE 100 BX 10CT,027200207060,11,1,1,$107.55,$107.55

,,,,Subtotal: 2,,$215.10

SUPPLIER: KRETEK INTERNATIONAL
Description,SKU,Current Stock,Weekly Sales,Order Qty,Unit Cost,Total Cost
TAJMAHAL BIDIS 10/20 200 CT,751667126663,44,9,9,$32.99,$296.91

,,,,Subtotal: 9,,$296.91

SUPPLIER: PETREY WHOLESALE CO
Description,SKU,Current Stock,Weekly Sales,Order Qty,Unit Cost,Total Cost
NEWPORT MENTHOL 100 BOX 10CT,026100805734,2728,2581,2582,$89.16,$230211.12
NEWPORT MENTHOL BOX 10CT,026100805758,1085,1504,1504,$89.16,$134096.64
MARL GOLD BOX 10CT,028200138408,527,589,589,$80.07,$47161.23
MARL RED KING BOX 10CT,028200135704,206,386,386,$80.07,$30907.02
MARL RED 100 BOX 10CT,028200136305,211,175,175,$80.07,$14012.25
MARL GOLD 100 BOX 10CT,028200146502,229,151,151,$80.07,$12090.57
NEWPORT MENTHOL SOFT 10CT,026100805789,81,104,104,$84.16,$8752.64
NEWPORT MENTHOL SOFT 100 10CT,026100805772,109,97,97,$84.16,$8163.52
MAVERICK MENTHOL 100 BOX 10CT,090500100041,172,70,70,$63.80,$4466.00
MARL SILVER BOX 10CT,028200147707,98,53,53,$80.07,$4243.71
MARL SB BLACK BOX 10CT,028200195203,-4,46,47,$75.81,$3563.07
MARL NXT BOX 10CT,028200317711,44,40,40,$75.81,$3032.40
MARL SB BLACK 100 BOX 10CT,028200195302,3,34,34,$75.81,$2577.54
