SMART CIGARETTE ORDER - 1 WEEK SUPPLY
Generated: 2025-09-06 17:04:38
Analysis based on 12-month trends, weighted toward recent 8 weeks
Total Order: 6,177 units, $480,545.18

Description,SKU,Order Qty,Current Stock,Weeks Cover,8wk Avg,3mo Avg,12mo Avg,Trend,Growth %,Peak Wk,Min Wk,Volatility,Unit Cost,Margin,Weekly Profit
SHIELD RED 100 BOX 10CT,814057002111,3,23,7.7,3.0,1.8,2.0,DOWN ?,-25.0%,3,3,LOW,$41.65,$1.14,$3.42
MISTY MENTHOL GREEN 120 10CT,020400053581,3,8,3.4,2.4,2.1,2.9,DOWN ?,-100.0%,7,0,HIGH,$101.92,$1.31,$3.12
WILDHORSE GOLD BOX 10CT,708926562113,3,12,4.2,2.9,1.9,1.9,DOWN ?,-77.8%,5,1,MED,$40.25,$0.74,$2.11
SENECA RED KING BOX 10CT,681467003522,3,36,12.0,3.0,1.2,2.1,DOWN ?,-40.0%,6,2,HIGH,$29.69,$2.30,$6.90
NEWPORT NON MNTH GOLD 100 BOX,026100806618,3,11,4.5,2.4,2.5,1.6,STABLE ?,-7.7%,4,1,MED,$79.56,$2.36,$5.73
PALL MALL SELECT RED 100 10CT,027200209576,3,12,4.6,2.6,2.1,1.8,DOWN ?,-69.2%,6,0,HIGH,$51.21,$1.08,$2.84
PALL MALL MENTHOL BOX 10CT,027200018598,3,16,7.0,2.3,1.7,2.5,DOWN ?,-55.6%,4,1,MED,$76.39,$3.56,$8.14
NEWPORT MENTHOL BLUE BOX 10CT,026100805833,3,0,0.0,2.7,1.8,1.5,DOWN ?,-60.0%,4,1,HIGH,$89.16,$1.67,$4.53
BASIC MENTHOL BOX 10CT,028200305312,3,18,7.9,2.3,2.1,1.8,UP ?,71.4%,4,-1,HIGH,$61.84,$26.74,$61.13
VIRG SL RED BOX 10CT,028200177209,3,3,1.2,2.6,1.7,1.7,DOWN ?,-12.5%,7,1,HIGH,$95.86,$4.37,$11.23
VIRG SL GOLD BOX 10CT,028200173300,3,7,2.5,2.8,1.7,1.1,DOWN ?,-62.5%,5,1,HIGH,$95.86,$3.63,$10.29
MARL MENTHOL BLUE BOX 10CT,028200137609,3,6,2.7,2.3,1.9,1.9,DOWN ?,-40.0%,7,1,HIGH,$83.56,$3.75,$8.44
B&H LUXURY MENTHOL BOX ,028200172808,3,7,2.9,2.4,2.0,1.7,DOWN ?,-85.7%,3,1,MED,$109.56,$3.17,$7.53
SALEM MENTH SLVR  100 BOX 10CT,090500100300,3,26,10.4,2.5,1.8,1.7,DOWN ?,-66.7%,5,1,HIGH,$95.64,$2.59,$6.48
LD LIGHT GREEN 100 BOX 10CT,076940197070,3,10,3.7,2.7,1.5,1.5,DOWN ?,-40.0%,5,1,MED,$30.14,$0.85,$2.31
305'S MENTHOL 100 BOX 10CT,709215402134,3,26,10.4,2.5,1.6,2.1,DOWN ?,-80.0%,5,1,HIGH,$31.89,$0.90,$2.25
305'S BLUE BOX 10CT,709215302137,3,11,3.7,3.0,1.5,1.0,DOWN ?,-60.0%,5,1,HIGH,$31.89,$0.70,$2.10
FORTUNA BLUE 100 BOX 10CT,090600301904,3,9,3.2,2.8,1.2,1.3,UP ?,200.0%,6,1,HIGH,$76.86,$4.40,$12.31
NEWPORT NON MNTH GLD BX 10CT,026100806601,3,8,3.4,2.4,1.7,1.6,DOWN ?,-78.6%,5,-2,HIGH,$79.56,$3.18,$7.55
FORTUNA MENTHOL BOX 10CT,090600301430,3,17,7.3,2.3,1.8,1.7,UP ?,22.2%,4,1,HIGH,$76.86,$3.04,$7.09
PALL MALL SELECT BLUE 100 10CT,027200209545,3,13,5.7,2.3,1.7,1.6,DOWN ?,-81.8%,4,2,MED,$51.21,$1.08,$2.47
MONTEGO ORANGE 100 BOX 10CT,011000010043,3,13,5.8,2.3,1.8,1.6,DOWN ?,-93.3%,5,1,HIGH,$39.66,$1.03,$2.32
SENECA RED 100 BOX 10CT,681467003195,3,25,20.8,1.2,2.8,2.8,DOWN ?,-76.5%,2,1,MED,$30.69,$1.30,$1.56
VIRG SL SILVER BOX 10CT,028200174307,3,3,1.3,2.3,1.5,1.4,DOWN ?,-50.0%,5,1,HIGH,$93.66,$5.53,$12.44
DORAL MENTHOL GOLD 100 BOX,012300158138,3,16,7.5,2.1,1.5,1.7,DOWN ?,-90.0%,5,1,HIGH,$101.48,$4.44,$9.50
KOOL MENTHOL BLACK BX 10CT,090500100553,3,10,4.4,2.3,1.7,1.2,DOWN ?,-80.0%,5,1,HIGH,$80.96,$3.53,$8.07
VIRG SL MENTHOL GOLD BOX 10CT,028200173409,3,19,10.1,1.9,1.8,2.2,DOWN ?,-81.8%,4,-1,HIGH,$95.86,$4.07,$7.63
B&H DELUX MENTHOL 100 BOX 10CT,028200173003,3,8,3.7,2.1,1.7,1.6,DOWN ?,-80.0%,4,1,MED,$109.56,$3.38,$7.24
MISTY BLUE 120 BOX 10CT,020400050382,3,9,4.0,2.3,1.4,1.8,DOWN ?,-25.0%,5,1,HIGH,$101.92,$1.82,$4.09
EAGLE 20 RED 100 BOX 10CT,011000288084,3,16,5.7,2.8,1.0,1.0,DOWN ?,-83.3%,6,1,HIGH,$58.55,$1.04,$2.91
MAVERICK MENTHOL GOLD 100 BOX,090500100027,3,11,5.9,1.9,1.8,2.2,DOWN ?,-75.0%,3,1,MED,$63.80,$1.49,$2.77
305'S FULL FLVR 100 BOX 10CT,709215202116,3,39,16.3,2.4,1.5,1.4,DOWN ?,-20.0%,4,1,MED,$31.89,$0.83,$2.00
WINST BLACK BOLD 100 BOX 10CT,090500100331,2,10,3.3,3.0,0.7,0.7,STABLE ?,0.0%,3,3,LOW,$71.92,$11.87,$35.61
VANTAGE KING BOX 10CT,012300130134,3,3,1.0,3.0,0.7,0.6,UP ?,100.0%,4,2,MED,$121.76,$7.63,$22.89
MARL MENTHOL ICE BOX 10CT,028200194909,3,9,4.2,2.2,1.5,1.3,UP ?,28.6%,4,1,HIGH,$83.56,$4.92,$10.66
LD $0.50OFF RED BOX,076940197209,2,1,0.3,3.0,0.7,0.5,STABLE ?,nan%,3,3,LOW,$27.71,$1.24,$3.72
SHIELD RED KING BOX 10CT,814057001015,2,24,9.6,2.5,0.8,1.6,DOWN ?,-60.0%,3,2,MED,$41.65,$1.14,$2.85
EAGLE 20 BLUE KING BOX 10CT,011000282082,3,17,6.4,2.7,1.1,0.7,UP ?,166.7%,6,1,HIGH,$58.55,$1.04,$2.77
VIRG SL SILVER 120 BOX 10CT,028200195807,2,8,2.9,2.8,0.7,0.6,UP ?,300.0%,5,1,HIGH,$96.10,$10.36,$28.49
CAPRI MAGENTA 120 BOX 10CT,027200011162,2,6,2.8,2.1,1.2,1.5,DOWN ?,-57.1%,4,1,MED,$121.01,$6.55,$14.04
FORTUNA BLUE BOX 10CT,090600301393,2,2,0.8,2.5,1.0,0.7,DOWN ?,-66.7%,5,1,HIGH,$79.15,$4.34,$10.86
KOOL MENTHOL BLACK 100 BX 10CT,090500100560,2,22,9.8,2.3,1.3,1.0,DOWN ?,-83.3%,5,1,HIGH,$80.06,$4.43,$9.97
MARL SOUTHERN CUT 10CT,028200142405,2,4,2.0,2.0,1.2,1.5,DOWN ?,-16.7%,5,1,HIGH,$80.07,$3.99,$7.97
EDGEFIELD GOLD 100 BOX 10CT,802284004633,2,4,1.3,3.0,0.4,0.6,STABLE ?,0.0%,3,3,LOW,$35.69,$1.00,$3.00
PYRAMID BLUE 100 BX 10CT,011000104063,3,16,6.0,2.7,0.6,0.9,DOWN ?,-116.7%,5,-1,HIGH,$67.26,$0.93,$2.48
BASIC MNTH SILVER 100 BOX,028200304810,2,7,3.2,2.2,1.0,1.0,UP ?,100.0%,4,1,HIGH,$61.84,$26.35,$57.97
CAPRI MNTH INDIGO 120 BOX 10CT,027200011179,2,11,7.3,1.5,1.7,1.7,DOWN ?,-63.6%,2,1,MED,$121.01,$7.70,$11.55
CAPRI MENTHOL INDIGO 100 BOX ,027200207022,2,9,5.4,1.7,1.7,1.4,DOWN ?,-90.9%,3,1,MED,$121.01,$6.48,$10.80
PALL MALL ORANGE 100 BOX 10CT,027200731527,2,15,7.5,2.0,1.3,1.3,DOWN ?,-50.0%,4,1,HIGH,$76.39,$3.90,$7.80
VIRG SL GOLD 120 BOX 10CT,028200173508,2,5,2.5,2.0,1.3,1.2,DOWN ?,-80.0%,3,1,MED,$95.86,$3.85,$7.70
CROWNS LIGHT GREEN 100 BX 10CT,090600392704,2,11,6.6,1.7,1.3,1.8,DOWN ?,-70.0%,2,1,MED,$31.22,$2.77,$4.62
MAVERICK GOLD 100 BOX 10CT,090500100058,2,9,5.0,1.8,1.4,1.3,STABLE ?,0.0%,3,-1,HIGH,$63.80,$1.68,$3.02
SHIELD MENTHOL SILVER 100 B0X,814057002722,2,32,16.0,2.0,1.3,1.1,DOWN ?,-71.4%,2,2,LOW,$39.00,$1.14,$2.28
PALL MALL SELECT RED BOX 10CT,027200205936,2,10,5.7,1.8,1.6,1.4,DOWN ?,-91.7%,3,1,HIGH,$51.21,$1.08,$1.89
PALL MALL SELECT BLUE BOX 10CT,027200205905,2,12,7.2,1.7,1.6,1.4,DOWN ?,-16.7%,4,1,HIGH,$51.21,$1.08,$1.80
RAVE MENTHON 100 BOX 10CT,087393246154,2,11,6.4,1.7,1.2,1.8,DOWN ?,-85.7%,3,1,MED,$76.86,$0.93,$1.59
WINST MENTHOL 100 BOX 10CT,090500100379,2,2,1.0,2.0,1.2,0.6,UP ?,150.0%,2,2,LOW,$81.76,$2.03,$4.06
NEWPORT MNTH BLUE 100 BOX 10CT,026100805802,2,18,9.0,2.0,1.0,1.1,DOWN ?,-50.0%,4,1,MED,$89.16,$1.46,$2.91
EAGLE 20 BLUE 100 BOX 10CT,011000287087,2,14,5.6,2.5,0.6,0.5,STABLE ?,0.0%,4,1,HIGH,$58.55,$1.04,$2.60
WILDHORSE MENTHOL SLVR 100 BOX,708926564049,2,16,8.0,2.0,0.9,0.9,DOWN ?,-87.5%,3,1,HIGH,$40.25,$0.74,$1.48
WINST BLACK BOLD & SMOOTH,090500100324,2,6,3.0,2.0,0.9,0.6,UP ?,100.0%,3,1,HIGH,$81.76,$5.56,$11.12
DORAL SILVER  100 BOX 10CT,012300845137,2,11,5.5,2.0,0.7,0.8,UP ?,33.3%,2,2,LOW,$101.48,$3.76,$7.52
DORAL GOLD 100 BOX 10CT,012300220835,2,11,8.0,1.4,1.3,1.4,DOWN ?,-85.7%,2,1,MED,$104.18,$4.21,$5.79
MISTY MENTHOL 100 BOX 10CT,043300052089,2,6,4.4,1.4,1.5,1.5,DOWN ?,-57.1%,4,1,HIGH,$101.92,$2.13,$2.93
WINST WHITE 100 BOX 10CT,090500100140,2,26,18.2,1.4,1.2,1.6,DOWN ?,-80.0%,3,1,HIGH,$81.96,$1.83,$2.61
SHIELD BLUE 100 BOX 10CT,814057002319,2,13,6.5,2.0,0.7,0.9,STABLE ?,0.0%,2,2,LOW,$41.65,$1.14,$2.28
CROWNS GOLD BOX 10CT,090600392629,2,22,17.6,1.3,1.3,1.7,DOWN ?,-88.9%,2,1,MED,$32.22,$1.77,$2.21
BASIC MNTH GOLD 100 BOX 10CT,028200304513,2,13,7.8,1.7,0.9,0.7,DOWN ?,-42.9%,2,1,MED,$61.25,$26.74,$44.57
MARL MIDNIGHT BOX,028200161307,2,5,2.9,1.7,0.9,1.0,DOWN ?,-85.7%,4,1,HIGH,$75.81,$7.92,$13.58
MARL RED LABEL BOX 10CT,527432522509,2,7,4.0,1.8,0.7,1.1,UP ?,150.0%,4,1,HIGH,$78.37,$5.02,$8.79
SENECA BLUE KING BOX,681467003553,2,12,7.2,1.7,0.6,1.3,DOWN ?,-33.3%,2,1,MED,$29.69,$2.30,$3.83
PYRAMID MENTHOL SILVER 100 BOX,011000104070,2,6,3.4,1.8,0.8,0.8,STABLE ?,0.0%,2,1,MED,$67.26,$0.93,$1.63
PYRAMID RED BOX 10CT,011000492085,2,6,3.8,1.6,0.9,0.9,DOWN ?,-25.0%,3,1,HIGH,$67.26,$0.93,$1.49
CAMEL 99'S GOLD BOX 10CT,012300911603,2,43,21.5,2.0,0.5,0.4,UP ?,100.0%,2,2,LOW,$71.07,$15.72,$31.44
CAMEL TURKISH SILVER BOX 10CT,012300327916,2,6,3.8,1.6,0.9,0.8,DOWN ?,-83.3%,3,1,HIGH,$95.61,$5.85,$9.35
L&M MENTHOL BOLD 10CT,028200315519,2,4,2.0,2.0,0.5,0.5,STABLE ?,0.0%,2,2,LOW,$77.88,$4.51,$9.02
AMERICAN SPIRIT DK BLUE 10CT,047995856045,2,4,2.0,2.0,0.5,0.4,STABLE ?,0.0%,2,2,LOW,$90.45,$3.94,$7.88
CAPRI MAGENTA 100 BOX 10CT,027200207008,2,5,5.0,1.0,1.4,1.2,DOWN ?,-76.9%,1,1,LOW,$119.02,$7.73,$7.73
RAVE RED BOX 10CT,087393985237,2,6,3.0,2.0,0.3,0.4,STABLE ?,0.0%,2,2,LOW,$76.86,$3.73,$7.46
VIRG SL MENTHOL GOLD 120 BOX,028200173904,2,4,2.9,1.4,1.0,1.2,DOWN ?,-80.0%,3,1,HIGH,$96.10,$5.28,$7.39
PALL MALL ORANGE BOX 10CT,027200731459,2,11,7.7,1.4,1.0,0.9,UP ?,66.7%,3,1,HIGH,$78.09,$2.46,$3.51
SENECA SILVER 100 BOX,681467003256,2,-3,-1.7,1.8,0.7,0.5,DOWN ?,-50.0%,2,1,MED,$31.19,$1.20,$2.10
EDGEFIELD GOLD BOX 10CT,802284004442,2,9,4.5,2.0,0.5,0.5,STABLE ?,0.0%,2,2,LOW,$35.69,$1.00,$2.00
EAGLE 20 RED KING BOX 10CT,011000283089,2,10,7.8,1.3,1.2,0.8,STABLE ?,0.0%,3,1,HIGH,$58.55,$1.50,$1.93
305'S SILVER KING BOX 10CT,709215485229,2,7,5.4,1.3,1.3,0.7,UP ?,150.0%,2,1,MED,$31.89,$0.64,$0.83
CAMEL PLATINUM BOX 10CT,012300215138,2,21,13.1,1.6,0.7,0.5,DOWN ?,-75.0%,2,1,MED,$73.47,$24.94,$39.90
FORTUNA RED 100 BOX 10CT,090600301898,2,12,8.0,1.5,0.5,1.0,DOWN ?,-75.0%,2,1,MED,$63.41,$14.97,$22.46
MARL MENTHL SLATE 100 BOX 10CT,028200324313,2,4,2.5,1.6,0.6,0.5,DOWN ?,-83.3%,3,1,HIGH,$75.81,$8.43,$13.49
DORAL RED 100 BOX 10CT,012300220804,2,8,4.8,1.7,0.5,0.4,DOWN ?,-400.0%,2,1,MED,$101.48,$5.11,$8.52
MARL RED LABEL 100 BOX 10CT,028200136909,2,4,2.7,1.5,0.7,0.8,UP ?,33.3%,3,1,HIGH,$80.36,$5.02,$7.53
MARL 83 BOX 10CT,028200318510,2,6,4.0,1.5,0.7,0.8,DOWN ?,-57.1%,2,1,MED,$78.66,$4.73,$7.10
DORAL MENTHOL 100 BOX 10CT,012300839136,2,28,18.7,1.5,0.6,0.8,DOWN ?,-80.0%,3,1,HIGH,$101.48,$4.34,$6.51
L&M TURKISH BLEND BOX 10CT,028200313911,2,3,2.0,1.5,0.7,0.5,STABLE ?,0.0%,2,1,MED,$78.12,$4.27,$6.40
MARL MENTHOL BLUE 100 10CT,028200137708,2,6,5.0,1.2,1.1,0.8,DOWN ?,-20.0%,2,1,MED,$83.56,$5.29,$6.35
PYRAMID BLUE  BOX 10CT,011000493082,2,18,9.0,2.0,0.1,0.4,DOWN ?,-100.0%,2,2,LOW,$65.11,$3.08,$6.16
DORAL SILVER BOX 10CT,012300844130,2,2,1.3,1.5,0.8,0.7,DOWN ?,-66.7%,4,1,HIGH,$104.18,$3.57,$5.35
EDGEFIELD MENTHOL 100 BOX 10CT,802284004695,2,10,7.5,1.3,0.7,0.9,UP ?,50.0%,2,1,MED,$35.69,$1.00,$1.33
305'S MENTHOL KING BOX 10CT,709215401892,2,12,9.6,1.3,0.9,1.2,STABLE ?,0.0%,2,0,HIGH,$31.89,$0.69,$0.86
WINST MENTHOL BOX 10CT,090500100362,2,3,2.0,1.5,0.7,0.4,UP ?,50.0%,2,1,MED,$81.76,$5.56,$8.34
MARL MENTHOL SMOOTH ICE 10CT,028200330611,2,3,2.1,1.4,0.6,0.7,DOWN ?,-50.0%,2,1,MED,$81.36,$5.39,$7.54
PARLIAMENT MNTH BX,028200178701,2,6,4.0,1.5,0.5,0.6,DOWN ?,-66.7%,2,1,MED,$95.86,$4.83,$7.25
MARL MENTHOL BOLD ICE 10CT,028200331311,2,6,4.5,1.3,0.6,0.7,UP ?,50.0%,2,1,MED,$83.56,$5.40,$7.20
CAMEL CRUSH RICH 10CT,012300108751,2,8,6.0,1.3,0.5,0.7,DOWN ?,-66.7%,2,1,MED,$84.41,$5.13,$6.84
FORTUNA RED BOX 10CT,090600301386,1,10,10.0,1.0,0.6,1.4,DOWN ?,-66.7%,1,1,LOW,$74.06,$5.33,$5.33
CAMEL TURKISH BLND ROYAL 10CT,012300843928,2,33,24.8,1.3,0.5,0.7,DOWN ?,-50.0%,2,1,MED,$82.71,$3.18,$4.24
PYRAMID RED 100 BOX 10CT,011000104087,2,11,8.3,1.3,0.5,0.8,STABLE ?,0.0%,2,1,MED,$65.11,$3.08,$4.11
CAMEL 99'S FILTERS 10CT,012300259132,1,27,27.0,1.0,0.7,1.4,DOWN ?,-50.0%,1,1,LOW,$82.71,$4.08,$4.08
CAMEL TURKISH BLND GOLD 10CT,012300844017,2,22,14.7,1.5,0.5,0.5,UP ?,200.0%,3,1,HIGH,$84.41,$2.38,$3.57
WILDHORSE SILVER 100 BOX 10CT,708926565213,2,19,16.3,1.2,0.7,1.2,DOWN ?,-85.7%,2,1,MED,$38.00,$0.74,$0.86
BASIC MENTHOL GOLD BOX 10CT,028200304216,2,12,9.6,1.3,0.6,0.7,UP ?,33.3%,2,1,MED,$61.25,$26.94,$33.68
CAPRI VIOLET 100 BOX 10CT,027200207046,2,10,7.1,1.4,0.6,0.3,DOWN ?,-80.0%,3,1,HIGH,$107.55,$19.20,$26.88
MARL SLATE BOX 10CT,028200324214,1,6,5.0,1.2,0.6,0.6,UP ?,200.0%,2,1,MED,$75.81,$8.15,$9.78
MORE 120 GREEN BOX 10CT,012300160131,1,4,4.0,1.0,0.6,0.9,UP ?,50.0%,1,1,LOW,$121.01,$8.31,$8.30
CARLTON MENTHOL 100 BOX 10CT,043300020583,1,0,0.0,1.3,0.5,0.4,DOWN ?,-50.0%,2,1,MED,$121.01,$4.03,$5.37
AMERICAN SPIRIT CELADON 10CT,047995855314,1,5,3.8,1.3,0.3,0.6,DOWN ?,-50.0%,2,1,MED,$88.59,$3.65,$4.87
PALL MALL NON FILTER KING BOX,043300065188,1,5,5.0,1.0,0.7,0.9,DOWN ?,-75.0%,1,1,LOW,$121.79,$4.56,$4.56
305'S BLUE 100 BOX 10CT,709215302151,1,14,14.0,1.0,0.8,0.6,DOWN ?,-85.7%,1,1,LOW,$31.59,$0.90,$0.90
CARLTON RED BX,043300029081,1,2,1.5,1.3,0.4,0.3,STABLE ?,0.0%,2,1,MED,$121.01,$5.18,$6.91
CAMEL CRUSH MENT SMTH SLV 10CT,012300119900,1,7,7.0,1.0,0.4,0.7,UP ?,100.0%,1,1,LOW,$84.57,$2.91,$2.91
CAMEL TURKISH BLEND SILVER 10C,012300844185,1,20,20.0,1.0,0.5,0.5,DOWN ?,-50.0%,1,1,LOW,$84.41,$2.38,$2.38
MISTY MENTHOL SILVER 100 10CT,020400052683,1,3,3.0,1.0,0.4,0.7,DOWN ?,-66.7%,1,1,LOW,$99.22,$2.27,$2.27
PYRAMID MENTHOL GOLD BOX 10CT,011000494089,1,14,14.0,1.0,0.7,0.4,DOWN ?,-50.0%,1,1,LOW,$67.26,$0.93,$0.93
305'S FULL FLAVOR BOX 10CT,709215201867,1,22,27.5,0.8,0.8,0.6,DOWN ?,-33.3%,2,-1,HIGH,$31.89,$0.85,$0.68
L&M TURKISH BLEND 100 BOX 10CT,028200314017,1,2,2.0,1.0,0.3,0.3,STABLE ?,0.0%,1,1,LOW,$70.91,$11.48,$11.48
AMERICAN SPIRIT NON FILTR 10CT,047995200015,1,2,2.0,1.0,0.3,0.4,STABLE ?,0.0%,1,1,LOW,$86.72,$10.27,$10.27
WINST $0.5OFF SELECT RED 100,090500110712,1,3,3.0,1.0,0.5,0.3,UP ?,100.0%,1,1,LOW,$70.95,$7.74,$7.74
SHIELD BLUE KING BOX  10CT,814057001213,1,7,7.0,1.0,0.2,0.5,STABLE ?,0.0%,1,1,LOW,$35.40,$7.39,$7.39
PARLIAMENT SILVER BOX 10CT,028200181503,1,-2,-2.0,1.0,0.4,0.3,STABLE ?,0.0%,1,1,LOW,$95.86,$6.99,$6.99
CAMEL TURKISH ROYAL BOX 10CT,012300302890,1,20,20.0,1.0,0.3,0.3,DOWN ?,-50.0%,1,1,LOW,$92.71,$6.78,$6.78
SENECA SILVER BOX 10CT,681467003584,1,0,0.0,1.0,0.3,0.5,DOWN ?,-50.0%,1,1,LOW,$27.19,$4.80,$4.80
PARLIAMENT BLUE BOX 10CT,028200179203,1,4,4.0,1.0,0.4,0.3,UP ?,200.0%,1,1,LOW,$94.12,$4.37,$4.37
DORAL MENTHOL BOX 10CT,012300232845,1,7,7.0,1.0,0.4,0.3,STABLE ?,0.0%,1,1,LOW,$104.18,$4.19,$4.18
MISTY ROSE 100 BOX  10CT,020400051686,1,2,2.0,1.0,0.5,0.5,UP ?,100.0%,1,1,LOW,$101.92,$2.77,$2.77
CAMEL CRUSH MENT SMOOTH 10CT,012300119818,1,5,5.0,1.0,0.5,0.5,STABLE ?,0.0%,1,1,LOW,$84.57,$2.38,$2.38
MAVERICK GOLD BOX 10CT,090500100010,1,6,6.0,1.0,0.2,0.4,STABLE ?,0.0%,1,1,LOW,$63.80,$2.18,$2.18
RAVE RED 100 BOX 10CT,087393246260,1,6,6.0,1.0,0.2,0.7,STABLE ?,0.0%,1,1,LOW,$76.86,$0.93,$0.93
PYRAMID ORANGE 100 BOX 10CT,011000104131,1,6,6.0,1.0,0.3,0.3,DOWN ?,-50.0%,1,1,LOW,$67.26,$0.93,$0.93
PYRAMID ORANGE BOX 10CT,011000104124,1,2,2.0,1.0,0.3,0.4,STABLE ?,0.0%,1,1,LOW,$67.26,$0.93,$0.93
305'S SILVER 100 BOX 10CT,709215384225,1,8,8.0,1.0,0.5,0.4,UP ?,50.0%,1,1,LOW,$31.89,$0.90,$0.90
BASIC MNTH SILVER BOX,028200305114,1,5,5.0,1.0,0.2,0.2,STABLE ?,0.0%,1,1,LOW,$61.84,$26.35,$26.35
DORAL MENTHOL GOLD BOX 10CT,012300842136,1,38,38.0,1.0,0.3,0.1,DOWN ?,-50.0%,1,1,LOW,$81.07,$24.17,$24.17
CAMEL TURKISH GOLD BOX 10CT,012300265713,1,5,6.7,0.8,0.5,0.4,DOWN ?,-100.0%,2,-1,HIGH,$73.47,$25.35,$19.01
CAPRI MENTHOL JADE 100 BX 10CT,027200207060,1,11,13.8,0.8,0.3,0.6,DOWN ?,-66.7%,1,0,HIGH,$107.55,$19.29,$15.43
CAMEL NON FILTER REG BOX 10CT,012300101134,1,5,5.0,1.0,0.2,0.4,STABLE ?,0.0%,1,1,LOW,$121.82,$10.11,$10.11
B&H DELUX BOX 10CT,028200172907,1,2,2.0,1.0,0.2,0.2,STABLE ?,0.0%,1,1,LOW,$104.86,$7.53,$7.53
WILDHORSE SILVER KING BOX 10CT,708926565244,1,0,0.0,1.0,0.2,0.3,STABLE ?,0.0%,1,1,LOW,$34.00,$6.99,$6.99
AMERICAN SPIRIT GRAY 10CT,047995856021,1,0,0.0,1.0,0.2,0.3,STABLE ?,0.0%,1,1,LOW,$84.96,$6.83,$6.83
CAMEL WIDES MENTHOL BOX 10CT,012300340793,1,2,2.0,1.0,0.2,0.2,STABLE ?,0.0%,1,1,LOW,$92.71,$6.78,$6.78
EAGLE 20 MENTHOL SILVER BOX ,011000285083,1,3,3.0,1.0,0.2,0.2,STABLE ?,0.0%,1,1,LOW,$49.60,$6.59,$6.59
CARLTON RED 100 BOX 10CT,043300020682,1,2,2.0,1.0,0.2,0.3,STABLE ?,0.0%,1,1,LOW,$116.28,$6.31,$6.31
DORAL GOLD BOX 10CT,012300841139,1,4,4.0,1.0,0.2,0.3,STABLE ?,0.0%,1,1,LOW,$101.48,$4.21,$4.21
EAGLE 20 MENTHOL SILVER 100 BX,011000294108,1,7,7.0,1.0,0.2,0.3,STABLE ?,0.0%,1,1,LOW,$56.70,$2.89,$2.89
LD LIGHT GREEN BOX 10CT,076940197063,1,5,5.0,1.0,0.2,0.2,STABLE ?,0.0%,1,1,LOW,$30.14,$0.85,$0.85
VIRG SL MENTHOL SILVR 120 10CT,028200195906,0,14,999.0,nan,1.4,0.7,UP ?,50.0%,nan,nan,LOW,$93.66,$0.00,$0.00
CAMEL WIDES MNTH SLVR BOX 10CT,012300340847,1,1,2.0,0.5,0.2,0.2,STABLE ?,0.0%,1,0,HIGH,$68.25,$31.24,$15.62
MISTY BLU 100 BOX 10CT,043300051082,1,6,12.0,0.5,0.2,0.3,DOWN ?,-50.0%,1,-1,HIGH,$95.97,$5.75,$2.87
WINST $0.5OFF RED BOX 10CT,090500110071,1,2,6.0,0.3,0.1,0.5,DOWN ?,-75.0%,1,-1,HIGH,$70.95,$7.74,$2.58
B&H PREMIUM BOX 10CT,028200172266,0,8,999.0,0.0,0.4,0.9,STABLE ?,0.0%,1,-2,LOW,$107.36,$4.43,$0.00
EAGLE 20 ORANGE 100 BOX 10CT,011000291107,0,6,999.0,nan,0.5,0.6,DOWN ?,-66.7%,nan,nan,LOW,$58.55,$0.00,$0.00
B&H DELUX BOX 100 10CT,028200172709,0,3,999.0,nan,0.5,0.3,STABLE ?,0.0%,nan,nan,LOW,$106.11,$0.00,$0.00
PYRAMID MENTHOL SILVER BX 10CT,011000495086,0,8,999.0,nan,nan,0.9,DOWN ?,-75.0%,nan,nan,LOW,$65.11,$0.00,$0.00
555 GOLD 10CT,028052020128,0,8,999.0,nan,0.5,0.5,STABLE ?,0.0%,nan,nan,LOW,$98.29,$0.00,$0.00
EDGEFIELD RED 100 BOX 10CT,802284004602,0,15,999.0,nan,0.2,0.9,DOWN ?,-80.0%,nan,nan,LOW,$35.69,$0.00,$0.00
CAMEL WIDES BLUE 10CT,012300708135,0,9,999.0,nan,0.2,0.6,DOWN ?,-83.3%,nan,nan,LOW,$87.65,$0.00,$0.00
EDGEFIELD RED BOX 10CT,802284004411,0,13,999.0,nan,nan,1.0,DOWN ?,-33.3%,nan,nan,LOW,$35.69,$0.00,$0.00
PALL MALL MNTH GREY BOX,027200846627,0,4,999.0,nan,nan,0.8,UP ?,150.0%,nan,nan,LOW,$63.92,$0.00,$0.00
PYRAMID MENTHOL GOLD 100 10CT,011000104094,0,15,999.0,nan,0.5,0.5,UP ?,100.0%,nan,nan,LOW,$67.26,$0.00,$0.00
BASIC BLU BOX ,028200305015,0,14,999.0,nan,0.2,0.2,STABLE ?,0.0%,nan,nan,LOW,$61.25,$0.00,$0.00
DORAL RED BOX 10CT,012300840132,0,6,999.0,nan,nan,0.3,STABLE ?,0.0%,nan,nan,LOW,$101.48,$0.00,$0.00
MORE 120 RED BOX 10CT,012300155137,0,3,999.0,nan,nan,0.5,UP ?,50.0%,nan,nan,LOW,$119.06,$0.00,$0.00
RAVE MENTHOL BOX 10CT,087393823430,0,8,999.0,nan,nan,0.5,STABLE ?,0.0%,nan,nan,LOW,$63.41,$0.00,$0.00
EDGEFIELD SILVER BOX,802284004473,0,7,999.0,nan,nan,0.5,STABLE ?,0.0%,nan,nan,LOW,$35.69,$0.00,$0.00
