SMART CIGARETTE ORDER - 1 WEEK SUPPLY
Generated: 2025-09-06 17:04:38
Analysis based on 12-month trends, weighted toward recent 8 weeks
Total Order: 6,177 units, $480,545.18

Description,SKU,Order Qty,Current Stock,Weeks Cover,8wk Avg,3mo Avg,12mo Avg,Trend,Growth %,Peak Wk,Min Wk,Volatility,Unit Cost,Margin,Weekly Profit
MARL MENTHOL BOX 10CT,028200136107,14,23,1.5,14.9,11.2,12.0,DOWN ?,-80.3%,20,8,MED,$83.56,$3.74,$55.62
MARL 72 RED BOX 10CT,028200196309,15,39,2.6,14.8,11.1,12.4,DOWN ?,-74.1%,24,3,MED,$80.07,$3.52,$51.98
NEWPORT MENTHOL GOLD BOX 10CT,026100805765,14,41,2.7,15.1,11.5,11.0,DOWN ?,-79.3%,20,7,MED,$89.16,$1.47,$22.23
MONTEGO RED KING BOX 10CT,011000010005,15,38,2.4,15.6,10.5,11.4,DOWN ?,-76.5%,29,8,MED,$39.66,$1.03,$16.09
MARL SB GOLD BOX  10CT,028200142207,15,34,2.7,12.8,12.5,14.0,DOWN ?,-77.5%,20,1,MED,$80.07,$3.48,$44.50
SENECA MENTHOL 100 BOX 10CT,681467003287,14,96,7.2,13.3,11.2,13.3,DOWN ?,-90.4%,21,6,MED,$30.69,$1.42,$18.77
LUCKY STRIKE MENTHOL 100 BOX ,043300187187,13,18,1.5,12.0,11.3,10.7,DOWN ?,-84.5%,21,1,MED,$59.40,$4.81,$57.78
AMERICAN SPIRIT BLUE 10CT,047995855185,12,19,1.4,13.4,9.3,10.0,DOWN ?,-79.6%,18,9,LOW,$90.45,$2.92,$39.01
MARL 72 GOLD BOX 10CT,028200196507,12,40,3.3,12.1,9.6,10.1,DOWN ?,-80.0%,16,8,LOW,$80.07,$3.63,$44.07
SALEM MENTHOL GOLD 100 BX 10CT,090500100287,12,6,0.5,12.5,9.2,8.8,DOWN ?,-80.6%,20,8,MED,$95.64,$2.34,$29.21
WILDHORSE MENTHOL GREEN 100 BX,708926563219,12,92,9.7,9.5,8.9,14.1,DOWN ?,-84.4%,15,3,MED,$38.00,$2.99,$28.41
LUCKY STRIKE MENTHOL BOX 10CT,043300187156,11,19,1.7,11.4,9.4,8.2,DOWN ?,-82.4%,17,8,LOW,$59.40,$4.82,$54.87
NEWPORT SMOOTH SELECT 100,026100806687,11,16,1.4,11.6,8.0,7.7,DOWN ?,-76.7%,16,6,MED,$89.16,$2.04,$23.71
LUCKY STRIKE RED BOX 10CT,043300109189,11,11,1.1,10.4,8.8,8.5,DOWN ?,-71.4%,15,6,MED,$59.40,$5.11,$52.98
NEWPORT SMOOTH SELECT BOX 10CT,026100806700,10,37,3.4,11.0,7.6,8.3,DOWN ?,-84.1%,15,8,LOW,$89.16,$1.61,$17.71
LUCKY STRIKE RED 100 BOX 10CT,043300109271,10,17,1.7,10.3,8.1,7.7,DOWN ?,-79.1%,14,4,MED,$59.40,$5.59,$57.27
KOOL BLUE BOX 10CT,090500100201,10,24,2.4,9.9,8.1,8.5,DOWN ?,-96.1%,14,5,MED,$82.66,$2.00,$19.75
MARL BLACK GOLD BOX 10CT,028200334817,10,14,1.4,10.3,8.1,7.5,DOWN ?,-73.7%,16,5,MED,$75.81,$7.75,$79.42
SALEM MENTHOL KING BOX 10CT,090500100249,10,26,2.7,9.8,7.5,8.2,DOWN ?,-91.1%,15,5,MED,$95.64,$2.95,$28.76
PARLIAMENT WHITE KING BOX 10CT,028200178404,10,18,2.0,8.9,8.3,8.9,DOWN ?,-76.7%,13,6,MED,$95.86,$3.05,$27.07
SALEM MENTHOL GOLD BOX 10CT,090500100270,9,36,4.1,8.9,7.4,7.6,DOWN ?,-91.3%,14,5,MED,$95.64,$3.21,$28.46
NEWPORT NON MNTH RED BOX 10CT,026100806564,9,43,4.6,9.4,6.6,6.7,DOWN ?,-82.9%,14,6,MED,$79.56,$2.52,$23.65
MAVERICK RED 100 BOX 10CT,090500100003,9,15,1.7,9.0,6.7,6.5,DOWN ?,-86.4%,12,5,MED,$63.80,$2.06,$18.53
WINST GOLD BOX 10CT,090500100119,9,18,1.9,9.3,7.0,5.5,DOWN ?,-92.3%,15,3,HIGH,$81.96,$1.94,$17.98
NEWPORT NON MNTH RED 100 BOX,026100806571,9,16,1.9,8.5,6.8,7.2,DOWN ?,-83.0%,13,5,MED,$79.56,$2.73,$23.22
SALEM MENTHOL 100 BOX 10CT,090500100256,8,18,2.3,7.9,7.3,6.9,DOWN ?,-90.6%,11,6,LOW,$95.64,$2.36,$18.60
LD DARK GREEN 100 BOX 10CT,076940197056,9,32,3.7,8.6,6.1,6.4,DOWN ?,-76.9%,17,5,MED,$30.14,$0.94,$8.08
MARL MENTHOL SMOOTH BOX 10CT,028200132307,9,28,3.6,7.9,6.4,7.0,DOWN ?,-51.7%,14,1,HIGH,$83.56,$3.73,$29.40
PALL MALL MENTHOL 100 BOX 10CT,027200018659,8,15,1.9,8.0,6.4,7.1,DOWN ?,-78.6%,14,3,MED,$78.09,$2.61,$20.86
AMERICAN SPIRIT GREEN 10CT,047995855154,8,42,5.6,7.6,6.5,6.3,DOWN ?,-54.2%,14,1,HIGH,$95.25,$3.28,$24.77
L&M MENTHOL 100 BOX 10CT,028200310415,8,23,3.0,7.6,6.1,6.0,DOWN ?,-77.1%,11,5,MED,$79.58,$3.04,$23.17
TETON 18 RED BOX 10CT,853272008126,8,22,2.3,9.4,5.2,3.4,UP ?,583.3%,16,2,HIGH,$25.99,$2.02,$18.97
MONTEGO MENTHOL SLVR 100 10CT,011000010609,8,32,3.9,8.3,5.8,5.3,DOWN ?,-84.6%,16,4,HIGH,$39.66,$1.03,$8.50
